Console,Title,USSales,YearReleased,Publisher,Genre,Sequel,ReRelease,Usedprice,Review Score,Lifecycle,MaxPlayers,Online,Licensed,Handheld,Accessory,LtdEdition,Multiplatform
Sony PSP,Midnight Club 3: DUB Edition,1.69,2005,"Rockstar Games, Inc.",Racing / Driving,1,0,14.95,74,1,1,1,1,1,0,0,1
Sony PSP,Need for Speed: Most Wanted 5-1-0,1.67,2005,"Electronic Arts, Inc.",Racing / Driving,1,0,14.95,72,1,1,1,0,1,0,0,1
Nintendo DS,Pok‚mon Mystery Dungeon: Blue Rescue Team,1.22,2005,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Role-Playing (RPG),1,0,14.95,62,1,1,0,0,1,0,0,0
Nintendo DS,Sonic Rush,1.2,2005,"SEGA Corporation, SEGA Europe Ltd., SEGA of America, Inc.",Action,1,0,14.95,82,1,1,0,0,1,0,0,0
Sony PSP,Star Wars: Battlefront II,1.09,2005,LucasArts,Action,1,0,16.95,69,1,1,1,1,1,0,0,0
Sony PSP,SOCOM: U.S. Navy SEALs - Fireteam Bravo,1.07,2005,"Sony Computer Entertainment America, Inc., SCEE",Action,1,0,14.95,82,1,1,1,0,1,0,0,0
X360,Need for Speed: Most Wanted,0.95,2005,"Electronic Arts UK Ltd., Electronic Arts, Inc.",Racing / Driving,1,0,17.95,83,0,2,1,0,0,0,0,1
Nintendo DS,Zoo Tycoon DS,0.92,2005,THQ Inc.,"Simulation, Strategy",0,1,12.95,44,1,1,0,0,1,0,0,0
Nintendo DS,The Sims 2,0.83,2005,"Electronic Arts, Inc.","Role-Playing (RPG), Simulation",1,0,17.95,70,1,1,0,0,1,0,0,1
Sony PSP,Namco Museum Battle Collection,0.77,2005,"Namco Hometek Inc., SCEE","Action, Racing / Driving",0,1,17.95,73,1,1,1,0,1,0,0,0
Nintendo DS,Mario & Luigi: Partners in Time,0.75,2005,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH","Action, Role-Playing (RPG)",1,0,29.95,86,1,1,0,0,1,0,0,0
Sony PSP,Madden NFL 06,0.75,2005,"Electronic Arts, Inc.",Sports,1,0,7.95,75,1,1,1,1,1,0,0,1
Sony PSP,Need for Speed Underground: Rivals,0.73,2005,"Electronic Arts, Inc.",Racing / Driving,1,0,17.95,74,1,4,1,1,1,0,0,0
Sony PSP,Twisted Metal: Head-On,0.73,2005,"Sony Computer Entertainment America, Inc., SCEA, SCEE","Action, Racing / Driving",1,0,14.95,79,1,1,1,0,1,0,0,1
X360,Perfect Dark Zero,0.7,2005,Microsoft Games Studios,Action,1,0,17.95,79,0,4,1,0,0,0,0,0
Nintendo DS,Super Monkey Ball: Touch & Roll,0.7,2005,"SEGA Corporation, SEGA Europe Ltd., SEGA of America, Inc.",Action,1,0,15.95,63,1,1,0,0,1,0,0,0
Nintendo DS,Super Princess Peach,0.7,2005,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Action,0,0,29.95,75,1,1,0,0,1,0,0,0
Sony PSP,Burnout Legends,0.68,2005,"Electronic Arts UK Ltd., Electronic Arts, Inc.","Action, Racing / Driving",1,0,14.95,86,1,1,1,0,1,0,0,1
X360,Madden NFL 06,0.62,2005,"Electronic Arts UK Ltd., Electronic Arts, Inc.",Sports,1,0,4.95,74,0,2,1,1,0,0,0,1
Nintendo DS,Clubhouse Games,0.61,2005,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Strategy,0,0,17.95,83,1,1,1,0,1,0,0,0
Sony PSP,ATV Offroad Fury: Blazin' Trails,0.56,2005,"Sony Computer Entertainment America, Inc., SouthPeak Interactive, LLC","Racing / Driving, Sports",0,0,12.95,63,1,4,1,1,1,0,0,0
Sony PSP,Untold Legends: Brotherhood of the Blade,0.56,2005,"Activision Deutschland GmbH, Sony Online Entertainment Inc.","Action, Role-Playing (RPG)",0,0,12.95,68,1,1,1,0,1,0,0,0
Sony PSP,Tony Hawk's Underground 2: Remix,0.49,2005,"Activision Deutschland GmbH, Activision Publishing, Inc., Activision (UK) Limited",Sports,1,0,14.95,83,1,1,1,0,1,0,0,0
Sony PSP,The Sims 2,0.46,2005,"Electronic Arts, Inc.","Simulation, Strategy",1,0,14.95,65,1,1,1,0,1,0,0,1
Sony PSP,WipEout Pure,0.45,2005,"Sony Computer Entertainment America, Inc., SCEA, SCEE, Sony Computer Entertainment Europe Ltd., Sony Computer Entertainment Japan","Action, Racing / Driving",1,0,12.95,88,1,1,1,0,1,0,0,0
Sony PSP,NBA Live 06,0.42,2005,"Electronic Arts, Inc.",Sports,1,0,9.95,80,1,1,1,1,1,0,0,1
Sony PSP,WWE Smackdown vs. Raw 2006,0.38,2005,THQ Inc.,"Action, Sports",1,0,14.95,81,1,4,0,0,1,0,0,1
X360,Dead or Alive 4,0.38,2005,"Tecmo, Inc.",Action,1,0,17.95,85,0,4,1,0,0,0,0,0
Nintendo DS,Phoenix Wright: Ace Attorney,0.38,2005,"Capcom Co., Ltd., Capcom Entertainment, Inc., CE Europe Ltd.","Adventure, Simulation",0,0,24.95,81,1,1,0,0,1,0,0,0
Sony PSP,Spider-Man 2,0.38,2005,"Activision Publishing, Inc.",Action,1,0,14.95,67,1,1,0,1,1,0,0,0
Sony PSP,NFL Street 2,0.37,2005,"Electronic Arts, Inc.",Sports,1,0,17.95,73,1,4,1,1,1,0,0,0
Nintendo DS,Kirby: Canvas Curse,0.37,2005,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Action,1,0,17.95,86,1,1,0,0,1,0,0,0
X360,Battlefield 2: Modern Combat,0.36,2005,"Electronic Arts, Inc., Electronic Arts Ltd.",Action,1,0,16.95,77,0,4,1,0,0,0,0,1
Nintendo DS,Yoshi Touch & Go,0.36,2005,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Action,1,0,17.95,73,1,1,0,0,1,0,0,0
X360,Tiger Woods PGA Tour 06,0.33,2005,"Electronic Arts UK Ltd., Electronic Arts Deutschland GmbH, Electronic Arts, Inc.",Sports,1,0,9.95,71,0,4,1,1,0,0,0,0
X360,Condemned: Criminal Origins,0.33,2005,"SEGA Corporation, SEGA Europe Ltd., SEGA of America, Inc.","Action, Adventure",0,0,14.95,81,0,1,0,0,0,0,0,0
X360,Peter Jackson's King Kong: The Official Game of...,0.32,2005,"Ubisoft Entertainment SA, Ubisoft, Inc.",Action,0,0,14.95,80,0,2,0,1,0,0,0,1
Nintendo DS,Castlevania: Dawn of Sorrow,0.31,2005,"Konami Co., Ltd., Konami Corporation, Konami Digital Entertainment GmbH, Konami Digital Entertainment, Inc.","Action, Role-Playing (RPG)",1,0,17.95,89,1,1,0,0,1,0,0,0
Nintendo DS,SpongeBob SquarePants: The Yellow Avenger,0.31,2005,"THQ Australia, THQ Inc.",Action,0,0,13.95,67,1,1,0,0,1,0,0,1
Sony PSP,Marvel Nemesis: Rise of the Imperfects ,0.31,2005,"Electronic Arts UK Ltd., Electronic Arts, Inc.",Action,0,0,17.95,58,1,1,1,1,1,0,0,1
X360,Kameo: Elements of Power,0.31,2005,Microsoft Games Studios,Action,0,0,11.95,79,0,1,1,0,0,0,0,0
Nintendo DS,Advance Wars: Dual Strike,0.3,2005,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Strategy,1,0,17.95,90,1,1,0,0,1,0,0,0
Nintendo DS,Trauma Center: Under the Knife,0.3,2005,"Atlus Co., Ltd., Atlus U.S.A., Inc., Nintendo of Europe GmbH","Action, Simulation",0,0,15.95,81,1,1,0,0,1,0,0,0
Sony PSP,Coded Arms,0.3,2005,"Konami Corporation, Konami Digital Entertainment GmbH, Konami Digital Entertainment, Inc.",Action,0,0,12.95,59,1,1,1,0,1,0,0,0
X360,NBA LIVE 06 ,0.29,2005,"Electronic Arts, Inc.",Sports,1,0,4.95,64,0,1,0,0,0,0,0,1
X360,Tony Hawk's American Wasteland,0.29,2005,"Activision Deutschland GmbH, Activision Publishing, Inc., Activision (UK) Limited",Sports,1,0,14.95,75,0,1,1,1,0,0,0,1
Nintendo DS,Star Wars: Episode III - Revenge of the Sith,0.28,2005,"Ubisoft Entertainment SA, Ubisoft, Inc.",Action,1,0,16.95,73,1,1,0,1,1,0,0,0
Sony PSP,Capcom Classics Collection Remixed,0.28,2005,"Capcom Entertainment, Inc., CE Europe Ltd.",Action,0,1,17.95,72,1,1,1,0,1,0,0,0
Nintendo DS,Madagascar,0.27,2005,"Activision Publishing, Inc.",Adventure,0,0,14.95,66,1,1,0,1,1,0,0,1
Sony PSP,X-Men: Legends II - Rise of Apocalypse,0.27,2005,"Activision Deutschland GmbH, Activision Publishing, Inc.","Action, Role-Playing (RPG)",1,0,17.95,84,1,1,1,1,1,0,0,1
X360,Quake 4,0.27,2005,"Activision Deutschland GmbH, Activision Italia, Activision Publishing, Inc., Activision (UK) Limited",Action,1,0,14.95,75,0,1,1,0,0,0,0,0
Nintendo DS,Pok‚mon Trozei!,0.26,2005,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Strategy,0,0,19.95,74,1,1,0,0,1,0,0,0
Nintendo DS,Need for Speed: Most Wanted,0.25,2005,"Electronic Arts, Inc.",Racing / Driving,1,0,15.95,45,1,1,0,1,1,0,0,1
Sony PSP,Mega Man Maverick Hunter X,0.25,2005,"Capcom Co., Ltd., Capcom Entertainment, Inc., CE Europe Ltd.",Action,0,1,17.95,79,1,1,0,0,1,0,0,0
Sony PSP,MLB,0.24,2005,"Sony Computer Entertainment America, Inc.",Sports,0,0,9.95,80,1,1,0,1,1,0,0,0
Sony PSP,NBA Street Showdown,0.22,2005,"Electronic Arts, Inc.",Sports,1,0,17.95,75,1,4,1,1,1,0,0,0
Nintendo DS,Metroid Prime Pinball,0.22,2005,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH","Action, Simulation",1,0,17.95,79,1,1,0,0,1,0,0,0
Sony PSP,NBA 06,0.22,2005,"Sony Computer Entertainment America, Inc.",Sports,1,0,9.95,72,1,1,1,1,1,0,0,1
X360,GUN ,0.22,2005,"Activision Deutschland GmbH, Activision Publishing, Inc., Activision (UK) Limited","Action, Racing / Driving, Role-Playing (RPG)",0,0,19.95,75,0,1,0,0,0,0,0,1
X360,NBA 2K6 ,0.22,2005,2K Sports,Sports,1,0,4.95,81,0,1,0,0,0,0,0,1
Sony PSP,Pinball Hall of Fame: The Gottlieb Collection,0.21,2005,"Crave Entertainment, Inc., Play It Ltd, System 3 Software, Ltd.",Action,1,0,9.95,73,1,4,1,1,1,0,0,1
Nintendo DS,Harry Potter and the Goblet of Fire,0.21,2005,"Electronic Arts Australia, Electronic Arts, Inc.",Action,1,0,17.95,68,1,1,0,1,1,0,0,1
Nintendo DS,Tony Hawk's American Sk8land,0.21,2005,"Activision Deutschland GmbH, Activision Publishing, Inc.",Sports,1,0,16.95,84,1,1,1,1,1,0,0,1
Sony PSP,Midway Arcade Treasures: Extended Play,0.21,2005,"Midway Games, Inc., Midway Games Ltd.","Action, Racing / Driving, Sports",0,1,14.95,63,1,1,1,0,1,0,0,0
Sony PSP,MVP Baseball,0.21,2005,"Electronic Arts, Inc.",Sports,0,0,4.95,67,1,1,1,0,1,0,0,1
Sony PSP,NBA,0.21,2005,"Sony Computer Entertainment America, Inc.",Sports,0,0,9.95,57,1,1,0,1,1,0,0,0
Sony PSP,Tiger Woods PGA Tour,0.21,2005,"Electronic Arts, Inc.",Sports,0,0,17.95,78,1,1,1,1,1,0,0,0
Sony PSP,World Series of Poker,0.21,2005,"Activision Value Publishing, Inc.","Sports, Strategy",0,0,14.95,37,1,1,1,1,1,0,0,1
Sony PSP,SSX on Tour,0.2,2005,"Electronic Arts, Inc.",Sports,1,0,16.95,79,1,1,1,0,1,0,0,1
Sony PSP,Tiger Woods PGA Tour 06,0.2,2005,"Electronic Arts, Inc.",Sports,1,0,9.95,80,1,1,1,1,1,0,0,0
Sony PSP,Death Jr.,0.19,2005,"Konami of Europe GmbH, Konami Digital Entertainment, Inc.",Action,0,0,9.95,61,1,1,0,0,1,0,0,0
Sony PSP,Harry Potter and the Goblet of Fire,0.19,2005,"Electronic Arts, Inc.",Action,1,0,17.95,70,1,1,1,1,1,0,0,1
Sony PSP,MediEvil Resurrection,0.19,2005,"Sony Computer Entertainment America, Inc., SCEE, Sony Computer Entertainment Europe Ltd.",Action,1,0,17.95,66,1,1,0,0,1,0,0,0
Nintendo DS,"The Chronicles of Narnia: The Lion, the Witch a...",0.18,2005,"Buena Vista Games, Inc.","Action, Role-Playing (RPG)",0,0,12.95,65,1,1,0,0,1,0,0,1
Nintendo DS,Shrek SuperSlam,0.18,2005,"Activision Publishing, Inc.",Action,0,0,11.95,56,1,1,0,1,1,0,0,1
Sony PSP,Virtua Tennis: World Tour,0.18,2005,"SEGA Corporation, SEGA Europe Ltd., SEGA of America, Inc.",Sports,1,0,14.95,84,1,1,1,1,1,0,0,1
Sony PSP,Prince of Persia: Revelations,0.17,2005,"Ubisoft, Inc.",Action,1,1,6.95,65,1,1,0,0,1,0,0,0
Nintendo DS,Burnout Legends,0.16,2005,"Electronic Arts, Inc.","Action, Racing / Driving",0,0,17.95,38,1,1,0,0,1,0,0,1
Nintendo DS,Meteos,0.16,2005,"Bandai Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Strategy,0,0,15.95,88,1,1,0,0,1,0,0,0
Nintendo DS,Spyro: Shadow Legacy,0.15,2005,"Sierra Entertainment, Inc., Vivendi Universal Games, Inc.",Role-Playing (RPG),1,0,17.95,50,1,1,0,0,1,0,0,0
Sony PSP,The Con,0.15,2005,"Sony Computer Entertainment America, Inc.",Action,0,0,8.95,63,1,1,0,0,1,0,0,0
Sony PSP,Infected,0.15,2005,Majesco Entertainment Company,Action,0,0,17.95,74,1,1,1,0,1,0,0,0
Nintendo DS,Trace Memory,0.14,2005,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Adventure,0,0,14.95,70,1,1,0,0,1,0,0,0
Sony PSP,Pursuit Force,0.14,2005,"Sony Computer Entertainment America, Inc., SCEE, Spike Co., Ltd.","Action, Racing / Driving",0,0,14.95,75,1,1,0,0,1,0,0,0
Sony PSP,Kingdom of Paradise,0.13,2005,"Sony Computer Entertainment America, Inc., SCEE, Sony Computer Entertainment Europe Ltd., Sony Computer Entertainment Incorporated","Action, Role-Playing (RPG)",0,0,12.95,72,1,2,1,0,1,0,0,0
Nintendo DS,Dragon Ball Z: Supersonic Warriors 2,0.13,2005,"Atari, Inc.",Action,1,0,22.95,66,1,1,0,1,1,0,0,0
Nintendo DS,Dragon Quest Heroes: Rocket Slime,0.13,2005,"Square Enix Co., Ltd., Square Enix, Inc.",Action,1,0,12.95,83,1,1,0,0,1,0,0,0
Sony PSP,Dead to Rights: Reckoning,0.13,2005,"Namco Europe Limited, Namco Hometek Inc.",Action,1,0,14.95,54,1,1,1,0,1,0,0,0
