Console,Title,USSales,YearReleased,Publisher,Genre,Sequel,ReRelease,Usedprice,Review Score,Lifecycle,MaxPlayers,Online,Licensed,Handheld,Accessory,LtdEdition,Multiplatform
Nintendo DS,Mega Man Battle Network 5: Double Team DS,0.06,2005,"Capcom Co., Ltd., Capcom Entertainment, Inc., CE Europe Ltd.","Action, Role-Playing (RPG)",1,0,17.95,68,1,1,0,0,1,0,0,0
Nintendo DS,Nanostray,0.06,2005,"Majesco Entertainment Company, Taito Corporation, THQ Inc.",Action,0,0,17.95,71,1,1,0,0,1,0,0,0
Nintendo DS,Sega Casino,0.06,2005,"SEGA of America, Inc.",Simulation,0,0,17.95,61,1,1,0,0,1,0,0,0
Nintendo DS,Teenage Mutant Ninja Turtles 3: Mutant Nightmare,0.06,2005,"Konami Digital Entertainment, Inc.","Action, Adventure",1,0,17.95,58,1,1,0,1,1,0,0,1
Sony PSP,Pac-Man World 3,0.06,2005,"Electronic Arts, Inc., Namco Hometek Inc.",Action,1,0,24.95,61,1,1,1,0,1,0,0,1
Sony PSP,Smart Bomb,0.06,2005,"Eidos, Inc.","Action, Strategy",0,0,14.95,45,1,1,1,0,1,0,0,0
Sony PSP,Tokobot,0.06,2005,"Take-Two Interactive Software Europe Ltd., Tecmo, Inc.",Strategy,0,0,17.95,72,1,1,0,0,1,0,0,0
Nintendo DS,Fullmetal Alchemist: Dual Sympathy,0.05,2005,"Bandai Co., Ltd., Destineer",Action,1,0,14.95,58,1,1,0,0,1,0,0,0
Sony PSP,Exit,0.05,2005,"Taito Corporation, Ubisoft Entertainment SA, Ubisoft, Inc.",Action,0,0,9.95,77,1,1,0,0,1,0,0,1
Nintendo DS,Bubble Bobble Revolution,0.04,2005,"Codemasters Software Company Limited, The, Rising Star Games Ltd.",Action,0,1,17.95,38,1,1,0,0,1,0,0,0
Nintendo DS,Elf Bowling 1&2,0.02,2005,Ignition Entertainment Ltd. USA,"Action, Sports",0,0,17.95,12,1,2,0,0,1,0,0,0
Nintendo DS,The Rub Rabbits!,0.02,2005,"SEGA Corporation, SEGA Europe Ltd., SEGA of America, Inc.","Action, Adventure",0,0,17.95,68,1,2,0,0,1,0,0,0
Nintendo DS,Rainbow Islands Revolution,0.02,2005,"Codemasters Software Company Limited, The, Rising Star Games Ltd., Taito Corporation",Action,0,1,14.95,54,1,1,0,0,1,0,0,0
Sony PSP,Kao Challengers,0.02,2005,Atari Europe S.A.S.U.,Action,0,0,14.95,57,1,1,1,0,1,0,0,0
Nintendo DS,Electroplankton,0.01,2005,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Simulation,0,0,29.95,71,1,1,0,0,1,0,0,0
Nintendo DS,LifeSigns: Surgical Unit,0.01,2005,"DreamCatcher Interactive Inc., Spike Co., Ltd.","Simulation, Strategy",0,0,22.95,61,1,1,0,0,1,0,0,0
Nintendo DS,Space Invaders Revolution,0.01,2005,"Mastiff, LLC, Rising Star Games Ltd.",Action,1,0,13.95,49,1,1,0,0,1,0,0,0
Nintendo Wii,Wii Play,14.66,2006,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH","Action, Sports",0,0,14.95,58,0,2,0,0,0,0,0,0
Nintendo DS,New Super Mario Bros.,10.03,2006,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Action,1,0,27.95,89,2,1,0,0,1,0,0,1
Nintendo DS,Pok‚mon Diamond,6.77,2006,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Role-Playing (RPG),1,0,27.95,85,2,1,0,0,1,0,0,0
Nintendo DS,Pok‚mon Pearl,6.77,2006,"Nintendo Co., Ltd., Nintendo France SARL, Nintendo of America Inc., Nintendo of Canada Ltd., Nintendo of Europe GmbH",Role-Playing (RPG),1,0,26.95,85,2,1,0,0,1,0,0,0
X360,Gears of War,3.7,2006,Microsoft Games Studios,Action,0,0,19.95,94,1,2,1,0,0,0,0,0
Nintendo Wii,The Legend of Zelda: Twilight Princess,3.33,2006,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH","Action, Role-Playing (RPG)",1,0,39.95,95,0,1,0,0,0,0,0,1
Nintendo DS,Cooking Mama,2.9,2006,"505 GameStreet, Majesco Entertainment Company, Taito Corporation",Simulation,0,0,17.95,67,2,1,0,0,1,0,0,0
X360,Marvel Ultimate Alliance,2.42,2006,"Activision Publishing, Inc., ATVI France SARL","Action, Role-Playing (RPG)",0,0,14.95,82,1,4,1,1,0,0,0,1
Sony PSP,Daxter,2.38,2006,"Sony Computer Entertainment America, Inc., SCEE, Sony Computer Entertainment Europe Ltd.",Action,1,0,14.95,85,2,1,1,0,1,0,0,0
X360,The Elder Scrolls IV: Oblivion,2.12,2006,"2K Games, Bethesda Softworks LLC, Spike Co., Ltd.","Action, Role-Playing (RPG)",1,0,19.95,94,1,1,0,0,0,0,0,1
X360,Madden NFL 07,1.77,2006,"Electronic Arts, Inc.",Sports,1,0,4.95,80,1,2,1,1,0,0,0,1
Sony PSP,Grand Theft Auto: Vice City Stories,1.72,2006,"Rockstar Games, Inc.","Action, Racing / Driving",1,0,17.95,86,2,1,1,0,1,0,0,1
PlayStation 3,Resistance: Fall of Man,1.61,2006,"Sony Computer Entertainment America, Inc., SCEE, Sony Computer Entertainment Europe Ltd., Sony Computer Entertainment Incorporated",Action,0,0,19.95,86,0,4,1,0,0,0,0,0
PlayStation 3,MotorStorm,1.58,2006,"Sony Computer Entertainment America, Inc., Sony Computer Entertainment Europe Ltd., Sony Computer Entertainment Incorporated","Action, Racing / Driving, Sports",0,0,16.95,82,0,1,1,0,0,0,0,0
X360,Call of Duty 3,1.51,2006,"Activision Deutschland GmbH, Activision Publishing, Inc., Activision (UK) Limited, ATVI France SARL",Action,1,0,16.95,82,1,2,1,0,0,0,0,1
Nintendo DS,Yoshi's Island DS,1.49,2006,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Action,1,1,27.95,81,2,1,0,0,1,0,0,0
X360,Tom Clancy's Ghost Recon: Advanced Warfighter,1.46,2006,"Ubisoft Entertainment SA, Ubisoft, Inc.",Action,1,0,14.95,90,1,4,1,0,0,0,0,1
X360,Fight Night Round 3,1.4,2006,"Electronic Arts, Inc.","Action, Sports",1,0,14.95,86,1,2,1,0,0,0,0,1
Nintendo DS,Pok‚mon Ranger,1.36,2006,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Canada Ltd., Nintendo of Europe GmbH",Role-Playing (RPG),1,0,19.95,69,2,1,0,0,1,0,0,0
Nintendo Wii,Rayman Raving Rabbids,1.26,2006,"Ubisoft Entertainment SA, Ubisoft, Inc.",Action,0,0,17.95,76,0,4,0,0,0,0,0,1
X360,Saints Row,1.23,2006,"THQ Inc., THQ (UK) Limited","Action, Racing / Driving",0,0,14.95,81,1,1,1,0,0,0,0,0
X360,Tom Clancy's Rainbow Six: Vegas,1.19,2006,"Ubisoft Entertainment SA, Ubisoft, Inc.",Action,1,0,14.95,88,1,2,1,1,0,0,0,1
X360,Dead Rising,1.16,2006,"Capcom Co., Ltd., Capcom Entertainment, Inc., CE Europe Ltd.",Action,0,0,16.95,85,1,1,0,0,0,0,0,0
Nintendo Wii,Call of Duty 3,1.15,2006,"Activision Publishing, Inc.",Action,1,0,19.95,69,0,1,0,0,0,0,0,1
X360,Lost Planet: Extreme Condition,1.15,2006,"Capcom Co., Ltd., Capcom Entertainment, Inc., CE Europe Ltd.",Action,0,0,12.95,79,1,1,1,0,0,0,0,1
Nintendo DS,Mario Hoops 3 on 3,1.03,2006,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Sports,0,0,22.95,69,2,1,0,0,1,0,0,0
Nintendo DS,LEGO Star Wars II: The Original Trilogy,1.02,2006,"Electronic Arts K.K., LucasArts",Action,1,0,17.95,47,2,1,0,1,1,0,0,1
Nintendo Wii,Super Monkey Ball: Banana Blitz,1,2006,"SEGA Corporation, SEGA Europe Ltd., SEGA of America, Inc.",Action,1,0,14.95,74,0,4,0,0,0,0,0,0
Nintendo DS,The Sims 2: Pets,0.97,2006,"Electronic Arts, Inc.",Simulation,1,0,14.95,49,2,1,0,0,1,0,0,1
Sony PSP,Need for Speed: Carbon - Own the City,0.93,2006,"Electronic Arts France, Electronic Arts, Inc., Electronic Arts K.K.",Racing / Driving,1,0,16.95,73,2,1,1,0,1,0,0,1
Nintendo Wii,WarioWare: Smooth Moves,0.9,2006,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH","Action, Racing / Driving, Sports",1,0,39.95,83,0,6,0,0,0,0,0,0
PlayStation 3,Fight Night Round 3,0.86,2006,"Electronic Arts, Inc.","Action, Sports",1,0,13.95,83,0,2,1,0,0,0,0,1
Nintendo DS,Final Fantasy III,0.86,2006,"Square Enix Co., Ltd., Square Enix, Inc., Square Enix, Ltd.",Role-Playing (RPG),1,1,17.95,77,2,1,1,0,1,0,0,0
Sony PSP,SOCOM: U.S. Navy SEALs - Fireteam Bravo 2,0.86,2006,"Sony Computer Entertainment America, Inc., Sony Computer Entertainment Europe Ltd.",Action,1,0,16.95,81,2,1,0,0,1,0,0,0
Sony PSP,Madden NFL 07,0.83,2006,"Electronic Arts, Inc.",Sports,1,0,9.95,78,2,1,0,1,1,0,0,1
Nintendo Wii,Monster 4x4: World Circuit,0.82,2006,"Ubisoft, Inc.",Racing / Driving,0,0,12.95,51,0,4,0,0,0,0,0,0
Nintendo DS,Kirby: Squeak Squad,0.82,2006,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Action,1,0,27.95,71,2,1,0,0,1,0,0,0
Nintendo Wii,Pok‚mon Battle Revolution,0.81,2006,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH","Action, Strategy",1,0,39.95,53,0,4,1,0,0,0,0,0
Sony PSP,Medal of Honor: Heroes,0.81,2006,"Electronic Arts, Inc., Electronic Arts K.K.",Action,1,0,14.95,71,2,1,1,0,1,0,0,0
Sony PSP,Tekken: Dark Resurrection,0.81,2006,"Namco Bandai Games America Inc., Sony Computer Entertainment Europe Ltd.",Action,1,1,17.95,88,2,1,1,0,1,0,0,0
X360,Need for Speed: Carbon,0.78,2006,"Electronic Arts, Inc., Electronic Arts K.K., Electronic Arts Ltd.",Racing / Driving,1,0,16.95,77,1,2,1,1,0,0,0,1
Nintendo DS,Mario vs. Donkey Kong 2: March of the Minis,0.77,2006,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Action,1,0,27.95,76,2,1,0,0,1,0,0,0
Sony PSP,Sonic Rivals,0.76,2006,"SEGA Europe Ltd., SEGA of America, Inc.","Action, Racing / Driving",0,0,17.95,64,2,1,0,0,1,0,0,0
Sony PSP,Disney/Pixar Cars,0.71,2006,THQ Inc.,Racing / Driving,0,0,12.95,70,2,4,0,1,1,0,0,1
X360,NCAA Football 07,0.7,2006,"Electronic Arts, Inc.",Sports,1,0,4.95,79,1,2,1,1,0,0,0,1
Sony PSP,Mortal Kombat: Unchained,0.67,2006,"Midway Home Entertainment, Inc., Midway Games Ltd.",Action,0,1,17.95,70,2,2,1,0,1,0,0,0
Sony PSP,MX vs. ATV: On the Edge,0.67,2006,THQ Inc.,"Racing / Driving, Sports",1,0,16.95,68,2,1,1,0,1,0,0,0
X360,Tom Clancy's Splinter Cell: Double Agent,0.67,2006,"Ubisoft, Inc.",Action,1,0,17.95,85,1,1,1,1,0,0,0,1
Nintendo DS,Tetris DS,0.66,2006,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Strategy,1,1,17.95,84,2,1,1,0,1,0,0,0
Sony PSP,LEGO Star Wars II: The Original Trilogy,0.61,2006,"LucasArts, TT Games Publishing Ltd",Action,1,0,17.95,83,2,2,1,1,1,0,0,1
Nintendo Wii,Red Steel,0.58,2006,Ubisoft Entertainment SA,Action,0,0,14.95,63,0,4,0,0,0,0,0,0
Nintendo DS,Metroid Prime: Hunters,0.58,2006,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Action,1,0,27.95,85,2,1,0,0,1,0,0,0
X360,LEGO Star Wars II: The Original Trilogy,0.57,2006,"LucasArts, TT Games Publishing Ltd",Action,1,0,14.95,81,1,2,0,1,0,0,0,0
X360,NBA 2K7 ,0.56,2006,2K Sports,Sports,1,0,4.95,84,1,1,0,0,0,0,0,1
Sony PSP,SEGA Genesis Collection,0.55,2006,"SEGA Europe Ltd., SEGA of America, Inc.","Action, Racing / Driving, Role-Playing (RPG), Strategy",0,1,17.95,82,2,2,1,0,1,0,0,1
PlayStation 3,Call of Duty 3,0.52,2006,"Activision Deutschland GmbH, Activision Publishing, Inc.",Action,1,0,19.95,80,0,1,1,0,0,0,0,1
Sony PSP,NBA Live 07,0.51,2006,"Electronic Arts, Inc.",Sports,1,0,7.95,64,2,1,1,1,1,0,0,1
Nintendo Wii,GT Pro Series,0.49,2006,"MTO Co., Ltd., Ubisoft Entertainment SA, Ubisoft, Inc.",Racing / Driving,0,0,14.95,41,0,4,0,0,0,1,0,0
PlayStation 3,Madden NFL 07,0.49,2006,"Electronic Arts, Inc.",Sports,1,0,6.95,76,0,2,1,1,0,0,0,1
Sony PSP,SpongeBob SquarePants: The Yellow Avenger,0.49,2006,"THQ Asia Pacific, THQ Inc.",Action,0,0,12.95,48,2,1,1,0,1,0,0,1
Nintendo Wii,Madden NFL 07,0.48,2006,"Electronic Arts, Inc.",Sports,1,0,9.95,81,0,4,0,1,0,0,0,1
Sony PSP,Fight Night Round 3,0.48,2006,"Electronic Arts, Inc.","Action, Simulation, Sports",1,0,16.95,74,2,2,0,0,1,0,0,1
PlayStation 3,Need for Speed: Carbon,0.47,2006,"Electronic Arts, Inc.",Racing / Driving,1,0,17.95,75,0,2,1,1,0,0,0,1
Nintendo Wii,Need for Speed: Carbon,0.47,2006,"ak tronic Software & Services GmbH, Electronic Arts, Inc.",Racing / Driving,1,0,17.95,67,0,2,0,1,0,0,0,1
X360,WWE SmackDown vs. Raw 2007,0.45,2006,THQ Inc.,Sports,1,0,12.95,81,1,4,1,1,0,0,0,1
X360,Tiger Woods PGA Tour 07,0.45,2006,"Electronic Arts, Inc.",Sports,1,0,9.95,80,1,1,0,1,0,0,0,1
X360,Viva Pi¤ata,0.44,2006,Microsoft Games Studios,"Simulation, Strategy",0,0,16.95,84,1,4,1,1,0,0,0,0
Nintendo Wii,SpongeBob Squarepants: Creature from the Krusty Krab,0.44,2006,THQ Inc.,"Action, Adventure",0,0,14.95,57,0,1,0,0,0,0,0,1
Sony PSP,Tony Hawk's Project 8,0.42,2006,"Activision Deutschland GmbH, Activision Publishing, Inc.",Sports,1,0,17.95,68,2,2,1,1,1,0,0,1
X360,Tony Hawk's Project 8,0.42,2006,"Activision Deutschland GmbH, Activision Publishing, Inc., ATVI France SARL",Sports,1,0,16.95,81,1,2,1,1,0,0,0,1
X360,NBA LIVE 07 ,0.42,2006,"Electronic Arts Deutschland GmbH, Electronic Arts, Inc.",Sports,1,0,4.95,59,1,1,0,0,0,0,0,1
Nintendo Wii,Excite Truck,0.4,2006,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Canada Ltd., Nintendo of Europe GmbH",Racing / Driving,1,0,19.95,72,0,2,0,0,0,0,0,0
Nintendo DS,Harvest Moon DS,0.4,2006,"Natsume, Inc., Rising Star Games Ltd.","Role-Playing (RPG), Simulation",0,0,17.95,67,2,1,0,0,1,0,0,0
Nintendo DS,Star Fox Command,0.39,2006,"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Action,1,0,14.95,76,2,1,1,0,1,0,0,0
Sony PSP,Metal Gear Solid: Portable Ops,0.39,2006,"Konami Corporation, Konami Digital Entertainment GmbH, Konami Digital Entertainment, Inc.","Action, Strategy",0,0,17.95,87,2,1,1,0,1,0,0,0
Nintendo Wii,Marvel Ultimate Alliance,0.38,2006,"Activision Publishing, Inc., Interchannel, Ltd.","Action, Role-Playing (RPG)",0,0,17.95,73,0,4,0,1,0,0,0,1
X360,Blazing Angels: Squadrons of WWII,0.37,2006,"Ubisoft Entertainment SA, Ubisoft, Inc.",Action,0,0,16.95,66,1,2,1,0,0,0,0,1
X360,Major League Baseball 2K6,0.37,2006,2K Sports,Sports,1,0,4.95,66,1,2,0,1,0,0,0,1
Sony PSP,NCAA Football 07,0.36,2006,"Electronic Arts, Inc.",Sports,1,0,9.95,75,2,1,0,1,1,0,0,1
Sony PSP,MLB 06: The Show,0.35,2006,SCEA,Sports,1,0,9.95,83,2,2,0,1,1,0,0,1
PlayStation 3,Blazing Angels: Squadrons of WWII,0.35,2006,"D3Publisher Inc., Ubisoft Entertainment SA, Ubisoft, Inc.",Action,0,0,16.95,67,0,2,1,0,0,0,0,1
Sony PSP,WWE SmackDown vs. Raw 2007,0.34,2006,THQ Inc.,Sports,1,0,14.95,78,2,4,1,1,1,0,0,1
Nintendo DS,Rune Factory: A Fantasy Harvest Moon,0.34,2006,"Marvelous Interactive, Inc.","Role-Playing (RPG), Simulation",0,0,24.95,78,2,1,0,0,1,0,0,0
Sony PSP,Marvel Ultimate Alliance,0.34,2006,"Activision Publishing, Inc.","Action, Role-Playing (RPG)",0,0,22.95,81,2,1,1,1,1,0,0,1
PlayStation 3,Marvel Ultimate Alliance,0.33,2006,"Activision Publishing, Inc.","Action, Role-Playing (RPG)",0,0,24.95,78,0,4,1,1,0,0,0,1
PlayStation 3,Tiger Woods PGA Tour 07,0.32,2006,"Electronic Arts, Inc.",Sports,1,0,14.95,81,0,4,1,1,0,0,0,1
Sony PSP,Ace Combat X: Skies of Deception,0.32,2006,"Namco Bandai Games America Inc., Namco Bandai Games Inc.","Action, Simulation",1,0,22.95,75,2,1,1,0,1,0,0,0
Sony PSP,Killzone: Liberation,0.32,2006,"Sony Computer Entertainment America, Inc., SCEE, Sony Computer Entertainment Europe Ltd.","Action, Strategy",1,0,16.95,77,2,1,1,0,1,0,0,0
X360,F.E.A.R.: First Encounter Assault Recon,0.32,2006,"Sierra Entertainment, Inc., Vivendi Universal Games, Inc.",Action,0,0,17.95,85,1,1,1,0,0,0,0,0
PlayStation 3,NBA 2K7,0.31,2006,2K Sports,Sports,1,0,7.95,80,0,7,1,1,0,0,0,1
PlayStation 3,Tony Hawk's Project 8,0.3,2006,"Activision Deutschland GmbH, Activision Publishing, Inc.",Sports,1,0,14.95,76,0,2,0,1,0,0,0,1
Nintendo DS,Avatar: The Last Airbender,0.3,2006,THQ Inc.,Action,0,0,17.95,64,2,1,0,1,1,0,0,1
Nintendo DS,Castlevania: Portrait of Ruin,0.3,2006,"Konami Digital Entertainment Co., Ltd., Konami Digital Entertainment GmbH, Konami Digital Entertainment, Inc.",Action,1,0,17.95,85,2,1,1,0,1,0,0,0
X360,Hitman: Blood Money,0.29,2006,"Eidos GmbH, Eidos, Inc., Eidos Interactive Ltd.",Action,1,0,22.95,82,1,1,0,0,0,0,0,1
X360,Rockstar Games presents Table Tennis,0.28,2006,"Rockstar Games, Inc.",Sports,0,0,9.95,81,1,2,1,0,0,0,0,1
Nintendo Wii,Trauma Center: Second Opinion,0.28,2006,"Atlus Co., Ltd., Atlus U.S.A., Inc., Nintendo of Europe GmbH","Action, Simulation",1,0,17.95,80,0,1,0,0,0,0,0,0
X360,Tenchu Z,0.28,2006,"FromSoftware, Inc., Microsoft Games Studios",Action,1,0,14.95,56,1,1,1,0,0,0,0,0
Nintendo DS,Elite Beat Agents,0.27,2006,"Nintendo Co., Ltd., Nintendo France SARL, Nintendo of America Inc., Nintendo of Europe GmbH",Action,0,0,9.95,87,2,1,0,0,1,0,0,0
Sony PSP,Street Fighter Alpha 3 MAX,0.27,2006,"Capcom Co., Ltd., Capcom Entertainment, Inc., CE Europe Ltd.",Action,1,1,14.95,80,2,1,1,0,1,0,0,0
X360,Blue Dragon,0.27,2006,Microsoft Games Studios,Role-Playing (RPG),0,0,14.95,79,1,1,0,0,0,0,0,0
X360,The Lord of the Rings: The Battle for Middle Ea...,0.27,2006,"Electronic Arts, Inc.",Strategy,1,0,19.95,79,1,1,1,1,0,0,0,0
X360,Prey,0.27,2006,"2K Games, Spike Co., Ltd.",Action,0,0,14.95,79,1,1,1,0,0,0,0,0
Nintendo DS,Over the Hedge,0.26,2006,"Activision Asia-Pacific, Activision Publishing, Inc.",Adventure,0,0,16.95,71,2,1,0,1,1,0,0,1
Sony PSP,Capcom Classics Collection Reloaded,0.26,2006,"Capcom Entertainment, Inc., CE Europe Ltd.",Action,0,1,17.95,75,2,1,1,0,1,0,0,0
Sony PSP,FIFA Soccer 07,0.26,2006,"Electronic Arts, Inc.",Sports,1,0,13.95,80,2,1,0,1,1,0,0,1
Sony PSP,Pirates of the Caribbean: Dead Man's Chest,0.26,2006,"Buena Vista Games, Inc.",Action,1,0,14.95,52,2,1,1,1,1,0,0,1
X360,NHL 07 ,0.26,2006,"Electronic Arts, Inc.",Sports,1,0,5.95,79,1,1,0,0,0,0,0,1
Sony PSP,Monster Hunter Freedom,0.25,2006,"Capcom Entertainment, Inc., CE Europe Ltd.","Action, Strategy",0,0,12.95,71,2,1,1,0,1,0,0,0
X360,Chromehounds,0.25,2006,"SEGA Corporation, SEGA Europe Ltd., SEGA of America, Inc.","Action, Simulation, Strategy",0,0,14.95,71,1,1,1,0,0,0,0,0
X360,Test Drive Unlimited,0.25,2006,"Atari Europe S.A.S.U., Atari, Inc., Eden Games S.A.S.",Racing / Driving,1,0,17.95,82,1,1,1,1,0,0,0,1
Nintendo Wii,Dragon Ball Z: Budokai Tenkaichi 2,0.24,2006,"Atari, Inc.",Action,1,0,14.95,72,0,2,0,1,0,0,0,1
Nintendo DS,Dragon Quest Monsters: Joker,0.24,2006,"Square Enix Co., Ltd., Square Enix, Inc., Square Enix, Ltd.",Role-Playing (RPG),1,0,14.95,75,2,1,1,0,1,0,0,0
Nintendo DS,Pirates of the Caribbean: Dead Man's Chest,0.24,2006,"D3Publisher Inc., Buena Vista Games, Inc.",Action,1,0,11.95,63,2,1,0,1,1,0,0,1
Sony PSP,NFL Street 3,0.24,2006,"Electronic Arts, Inc.","Action, Sports",1,0,14.95,68,2,1,1,1,1,0,0,0
Sony PSP,Syphon Filter: Dark Mirror,0.24,2006,"Sony Computer Entertainment America, Inc., Sony Computer Entertainment Europe Ltd.",Action,1,0,12.95,87,2,1,1,0,1,0,0,1
PlayStation 3,NBA 07,0.23,2006,SCEA,Sports,1,0,6.95,63,0,4,1,1,0,0,0,0
X360,FIFA World Cup: Germany 2006,0.23,2006,"Electronic Arts, Inc.",Sports,1,0,14.95,72,1,4,1,1,0,0,0,1
PlayStation 3,Ridge Racer 7,0.23,2006,"Namco Bandai Games America Inc., SCEE, Sony Computer Entertainment Europe Ltd.",Racing / Driving,1,0,19.95,78,0,2,1,0,0,0,0,0
X360,The Outfit,0.23,2006,THQ Inc.,Action,0,0,14.95,70,1,2,1,0,0,0,0,0
Nintendo Wii,Elebits,0.22,2006,"Konami Digital Entertainment Co., Ltd., Konami Digital Entertainment GmbH, Konami Digital Entertainment, Inc.",Action,0,0,14.95,75,0,4,0,0,0,0,0,0
Nintendo DS,Tony Hawk's Downhill Jam,0.22,2006,"Activision Deutschland GmbH, Activision Publishing, Inc.","Racing / Driving, Sports",1,0,14.95,76,2,1,1,0,1,0,0,1
Sony PSP,The Sims 2: Pets,0.21,2006,"Electronic Arts, Inc.",Simulation,1,0,17.95,57,2,1,0,0,1,0,0,1
Sony PSP,Tiger Woods PGA Tour 07,0.21,2006,"Electronic Arts, Inc.",Sports,1,0,12.95,78,2,1,0,1,1,0,0,1
X360,Disney/Pixar Cars,0.2,2006,THQ Inc.,"Action, Racing / Driving",0,0,16.95,65,1,2,0,1,0,0,0,1
Sony PSP,Thrillville,0.2,2006,"Atari Europe S.A.S.U., LucasArts","Simulation, Strategy",0,0,14.95,72,2,1,1,0,1,0,0,1
X360,The Godfather: The Game,0.2,2006,"Electronic Arts, Inc., Electronic Arts K.K.",Action,0,0,17.95,77,1,1,0,1,0,0,0,1
Nintendo Wii,Rampage: Total Destruction,0.19,2006,Midway Games Ltd.,Action,1,0,16.95,46,0,4,0,0,0,0,0,1
X360,College Hoops 2K7,0.19,2006,2K Sports,Sports,1,0,6.95,82,1,4,1,1,0,0,0,1
X360,Far Cry: Instincts - Predator,0.19,2006,"Ubisoft Entertainment SA, Ubisoft, Inc.",Action,1,0,17.95,78,1,4,1,0,0,0,0,0
X360,Full Auto,0.19,2006,"SEGA Corporation, SEGA Europe Ltd., SEGA of America, Inc.","Action, Racing / Driving",0,0,16.95,70,1,2,1,0,0,0,0,0
Nintendo DS,Age of Empires: The Age of Kings,0.19,2006,"Majesco Entertainment Company, Majesco Europe Ltd.",Strategy,1,0,17.95,80,2,1,0,0,1,0,0,0
Nintendo DS,Need for Speed: Carbon - Own the City,0.19,2006,"Electronic Arts, Inc.","Action, Racing / Driving",1,0,14.95,70,2,1,0,0,1,0,0,1
Sony PSP,Brothers in Arms: D-Day,0.19,2006,"Ubisoft Entertainment SA, Ubisoft, Inc.",Action,1,0,6.95,65,2,1,1,0,1,0,0,0
Sony PSP,Family Guy Video Game!,0.19,2006,2K Games,Action,0,0,19.95,51,2,1,0,1,1,0,0,1
X360,Superman Returns,0.19,2006,"Electronic Arts, Inc.",Action,0,0,7.95,51,1,1,0,1,0,0,0,1
X360,Over G Fighters,0.18,2006,"Taito Corporation, Ubisoft Entertainment SA, Ubisoft, Inc.",Simulation,0,0,17.95,49,1,2,1,0,0,0,0,0
X360,Final Fantasy XI Online,0.18,2006,"Square Enix, Inc.","Action, Role-Playing (RPG)",1,0,4.95,66,1,1,1,0,0,0,0,0
Nintendo DS,Mystery Dungeon: Shiren the Wanderer,0.17,2006,"SEGA Corporation, SEGA Europe Ltd., SEGA of America, Inc.","Action, Role-Playing (RPG)",0,0,17.95,69,2,1,0,0,1,0,0,0
Nintendo DS,Phoenix Wright: Ace Attorney - Justice for All,0.17,2006,"Capcom Co., Ltd., Capcom U.S.A., Inc., CE Europe Ltd.","Adventure, Simulation",1,0,13.95,76,2,1,0,0,1,0,0,0
Sony PSP,Justice League Heroes,0.17,2006,Warner Bros. Interactive Entertainment Inc.,Action,0,0,17.95,72,2,1,0,1,1,0,0,1
Sony PSP,Valhalla Knights,0.17,2006,"Marvelous Interactive, Inc., XSEED Games","Action, Role-Playing (RPG)",0,0,16.95,53,2,1,0,0,1,0,0,0
PlayStation 3,Genji: Days of the Blade,0.17,2006,"Sony Computer Entertainment America, Inc., SCEE, Sony Computer Entertainment Europe Ltd.","Action, Role-Playing (RPG)",1,0,14.95,55,0,1,0,0,0,0,0,0
X360,Top Spin 2,0.16,2006,2K Sports,Sports,1,0,12.95,75,1,4,1,1,0,0,0,0
Sony PSP,Field Commander,0.16,2006,"Sony Online Entertainment Inc., Ubisoft Entertainment SA",Strategy,0,0,14.95,77,2,2,1,0,1,0,0,0
Nintendo DS,Children of Mana,0.16,2006,"Nintendo of America Inc., Nintendo of Europe GmbH, Square Enix Co., Ltd.","Action, Role-Playing (RPG)",1,0,16.95,65,2,1,0,0,1,0,0,0
Sony PSP,Valkyrie Profile: Lenneth,0.16,2006,"Square Enix Co., Ltd., Square Enix, Inc., Square Enix, Ltd.",Role-Playing (RPG),1,0,22.95,80,2,1,0,0,1,0,0,0
Nintendo DS,Brain Boost: Beta Wave,0.15,2006,Majesco Entertainment Company,Simulation,0,0,12.95,39,2,1,0,0,1,0,0,0
Nintendo DS,Brain Boost: Gamma Wave,0.15,2006,Majesco Entertainment Company,Strategy,1,0,13.95,40,2,1,0,0,1,0,0,0
