Name,Damage,Year
Emily,1,2005
Stan,3.9,2005
Dennis,4.1,2005
Rita,18.5,2005
Wilma,27.4,2005
Katrina,126,2005
Dean,2,2007
Dolly,1.6,2008
Gustav,8.3,2008
Ike,38,2008
Alex,1.5,2010
Karl,4,2010
Lee,2.8,2011
Irene,14.2,2011
Isaac,3.1,2012
Sandy,68.7,2012
Ingrid,1.4,2013
Matthew,16.5,2016
Irma,77.2,2017
Maria,90,2017
Harvey,125,2017
Florence,24.2,2018
Michael,25.1,2018
Imelda,5,2019
Dorian,5.1,2019
Isaias,4.2,2020
Laura,8.9,2020
