Title,Genre,Console,USSales,YearReleased,Sequel,ReRelease,Usedprice,Review Score,Lifecycle,MaxPlayers,Online,Licensed,Handheld,Accessory,LtdEdition,Multiplatform
Tony Hawk's American Sk8land,Sports,Nintendo DS,0.21,2005,1,0,16.95,84,1,1,1,1,1,0,0,1
Midway Arcade Treasures: Extended Play,"Action, Racing / Driving, Sports",Sony PSP,0.21,2005,0,1,14.95,63,1,1,1,0,1,0,0,0
MVP Baseball,Sports,Sony PSP,0.21,2005,0,0,4.95,67,1,1,1,0,1,0,0,1
NBA,Sports,Sony PSP,0.21,2005,0,0,9.95,57,1,1,0,1,1,0,0,0
Tiger Woods PGA Tour,Sports,Sony PSP,0.21,2005,0,0,17.95,78,1,1,1,1,1,0,0,0
World Series of Poker,"Sports, Strategy",Sony PSP,0.21,2005,0,0,14.95,37,1,1,1,1,1,0,0,1
SSX on Tour,Sports,Sony PSP,0.2,2005,1,0,16.95,79,1,1,1,0,1,0,0,1
Tiger Woods PGA Tour 06,Sports,Sony PSP,0.2,2005,1,0,9.95,80,1,1,1,1,1,0,0,0
Death Jr.,Action,Sony PSP,0.19,2005,0,0,9.95,61,1,1,0,0,1,0,0,0
Harry Potter and the Goblet of Fire,Action,Sony PSP,0.19,2005,1,0,17.95,70,1,1,1,1,1,0,0,1
MediEvil Resurrection,Action,Sony PSP,0.19,2005,1,0,17.95,66,1,1,0,0,1,0,0,0
"The Chronicles of Narnia: The Lion, the Witch a...","Action, Role-Playing (RPG)",Nintendo DS,0.18,2005,0,0,12.95,65,1,1,0,0,1,0,0,1
Shrek SuperSlam,Action,Nintendo DS,0.18,2005,0,0,11.95,56,1,1,0,1,1,0,0,1
Virtua Tennis: World Tour,Sports,Sony PSP,0.18,2005,1,0,14.95,84,1,1,1,1,1,0,0,1
Prince of Persia: Revelations,Action,Sony PSP,0.17,2005,1,1,6.95,65,1,1,0,0,1,0,0,0
Burnout Legends,"Action, Racing / Driving",Nintendo DS,0.16,2005,0,0,17.95,38,1,1,0,0,1,0,0,1
Meteos,Strategy,Nintendo DS,0.16,2005,0,0,15.95,88,1,1,0,0,1,0,0,0
Spyro: Shadow Legacy,Role-Playing (RPG),Nintendo DS,0.15,2005,1,0,17.95,50,1,1,0,0,1,0,0,0
The Con,Action,Sony PSP,0.15,2005,0,0,8.95,63,1,1,0,0,1,0,0,0
Infected,Action,Sony PSP,0.15,2005,0,0,17.95,74,1,1,1,0,1,0,0,0
Trace Memory,Adventure,Nintendo DS,0.14,2005,0,0,14.95,70,1,1,0,0,1,0,0,0
Pursuit Force,"Action, Racing / Driving",Sony PSP,0.14,2005,0,0,14.95,75,1,1,0,0,1,0,0,0
Kingdom of Paradise,"Action, Role-Playing (RPG)",Sony PSP,0.13,2005,0,0,12.95,72,1,2,1,0,1,0,0,0
Dragon Ball Z: Supersonic Warriors 2,Action,Nintendo DS,0.13,2005,1,0,22.95,66,1,1,0,1,1,0,0,0
Dragon Quest Heroes: Rocket Slime,Action,Nintendo DS,0.13,2005,1,0,12.95,83,1,1,0,0,1,0,0,0
Dead to Rights: Reckoning,Action,Sony PSP,0.13,2005,1,0,14.95,54,1,1,1,0,1,0,0,0
World Championship Poker 2 featuring Howard Led...,Simulation,Sony PSP,0.13,2005,1,0,9.95,65,1,1,0,0,1,0,0,1
Amped 3,Sports,X360,0.13,2005,1,0,14.95,72,0,1,0,0,0,0,0,0
Break 'em All,Action,Nintendo DS,0.12,2005,0,0,17.95,68,1,1,0,0,1,0,0,0
Lunar: Dragon Song,Role-Playing (RPG),Nintendo DS,0.12,2005,0,0,14.95,59,1,1,0,0,1,0,0,0
Madden NFL 06,Sports,Nintendo DS,0.12,2005,1,0,9.95,66,1,1,0,1,1,0,0,1
Retro Atari Classics,"Action, Racing / Driving, Simulation",Nintendo DS,0.12,2005,0,1,12.95,51,1,1,0,0,1,0,0,0
True Swing Golf,Sports,Nintendo DS,0.12,2005,0,0,14.95,66,1,1,0,0,1,0,0,0
FIFA Soccer,Sports,Sony PSP,0.12,2005,1,0,14.95,73,1,1,0,1,1,0,0,1
Metal Gear Ac!d 2,Strategy,Sony PSP,0.12,2005,0,0,12.95,80,1,1,1,0,1,0,0,0
ATV Quad Frenzy,"Racing / Driving, Sports",Nintendo DS,0.11,2005,0,0,14.95,35,1,1,0,0,1,0,0,0
Bomberman,Strategy,Nintendo DS,0.11,2005,1,0,17.95,75,1,1,0,0,1,0,0,1
GoldenEye: Rogue Agent,Action,Nintendo DS,0.11,2005,1,0,14.95,58,1,1,0,1,1,0,0,1
Need for Speed Underground 2,Racing / Driving,Nintendo DS,0.11,2005,1,0,22.95,65,1,1,0,1,1,0,0,1
FIFA Soccer 06,Sports,Sony PSP,0.11,2005,1,0,16.95,77,1,1,1,1,1,0,0,1
Frogger: Helmet Chaos,Action,Sony PSP,0.11,2005,1,0,19.95,66,1,1,0,0,1,0,0,1
The Lord of the Rings: Tactics,"Role-Playing (RPG), Strategy",Sony PSP,0.11,2005,0,0,19.95,64,1,1,1,1,1,0,0,0
Rengoku: The Tower of Purgatory,"Action, Role-Playing (RPG)",Sony PSP,0.11,2005,0,0,12.95,43,1,1,1,0,1,0,0,0
Gretzky NHL,Sports,Sony PSP,0.1,2005,0,0,9.95,61,1,2,0,1,1,0,0,0
Ridge Racer 6,Racing / Driving,X360,0.1,2005,1,0,14.95,74,0,2,1,0,0,0,0,0
Ford Racing 3,"Action, Racing / Driving",Nintendo DS,0.1,2005,1,0,14.95,49,1,1,0,1,1,0,0,1
World Tour Soccer,Sports,Sony PSP,0.1,2005,0,0,12.95,70,1,1,1,1,1,0,0,0
NHL 2K6 ,Sports,X360,0.1,2005,1,0,5.95,75,0,1,0,0,0,0,0,1
Bust-a-Move DS,"Action, Strategy",Nintendo DS,0.09,2005,0,1,17.95,75,1,1,0,0,1,0,0,0
Battles of Prince of Persia,Strategy,Nintendo DS,0.09,2005,1,0,14.95,64,1,1,0,0,1,0,0,0
Snood 2: On Vacation,"Action, Strategy",Nintendo DS,0.09,2005,1,0,11.95,46,1,1,0,0,1,0,0,0
GripShift,Racing / Driving,Sony PSP,0.09,2005,0,0,9.95,70,1,1,1,0,1,0,0,0
Marvel Nemesis: Rise of the Imperfects ,Action,Nintendo DS,0.08,2005,0,0,14.95,34,1,1,0,1,1,0,0,1
Scooby-Doo! Unmasked,Action,Nintendo DS,0.08,2005,0,0,17.95,60,1,1,0,1,1,0,0,1
Viewtiful Joe: Double Trouble!,Action,Nintendo DS,0.08,2005,1,0,14.95,73,1,1,0,0,1,0,0,0
Frantix,Action,Sony PSP,0.08,2005,0,0,12.95,59,1,1,0,0,1,0,0,0
The Legend of Heroes: A Tear of Vermillion,Role-Playing (RPG),Sony PSP,0.08,2005,0,0,17.95,68,1,1,0,0,1,0,0,0
PQ: Practical Intelligence Quotient,Strategy,Sony PSP,0.08,2005,0,0,14.95,69,1,1,0,0,1,0,0,0
Lost in Blue,Role-Playing (RPG),Nintendo DS,0.07,2005,0,0,24.95,69,1,1,0,0,1,0,0,0
Ghost in the Shell: Stand Alone Complex,Action,Sony PSP,0.07,2005,0,0,14.95,61,1,1,1,1,1,0,0,0
The Hustle: Detroit Streets,Sports,Sony PSP,0.07,2005,0,0,7.95,51,1,1,1,0,1,0,0,1
Dig Dug: Digging Strike,Action,Nintendo DS,0.06,2005,0,1,16.95,65,1,1,0,0,1,0,0,0
Frogger: Helmet Chaos,Action,Nintendo DS,0.06,2005,1,0,17.95,69,1,1,0,0,1,0,0,1
Mega Man Battle Network 5: Double Team DS,"Action, Role-Playing (RPG)",Nintendo DS,0.06,2005,1,0,17.95,68,1,1,0,0,1,0,0,0
Nanostray,Action,Nintendo DS,0.06,2005,0,0,17.95,71,1,1,0,0,1,0,0,0
Sega Casino,Simulation,Nintendo DS,0.06,2005,0,0,17.95,61,1,1,0,0,1,0,0,0
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,"Action, Adventure",Nintendo DS,0.06,2005,1,0,17.95,58,1,1,0,1,1,0,0,1
Pac-Man World 3,Action,Sony PSP,0.06,2005,1,0,24.95,61,1,1,1,0,1,0,0,1
Smart Bomb,"Action, Strategy",Sony PSP,0.06,2005,0,0,14.95,45,1,1,1,0,1,0,0,0
Tokobot,Strategy,Sony PSP,0.06,2005,0,0,17.95,72,1,1,0,0,1,0,0,0
Fullmetal Alchemist: Dual Sympathy,Action,Nintendo DS,0.05,2005,1,0,14.95,58,1,1,0,0,1,0,0,0
Exit,Action,Sony PSP,0.05,2005,0,0,9.95,77,1,1,0,0,1,0,0,1
Bubble Bobble Revolution,Action,Nintendo DS,0.04,2005,0,1,17.95,38,1,1,0,0,1,0,0,0
Elf Bowling 1&2,"Action, Sports",Nintendo DS,0.02,2005,0,0,17.95,12,1,2,0,0,1,0,0,0
The Rub Rabbits!,"Action, Adventure",Nintendo DS,0.02,2005,0,0,17.95,68,1,2,0,0,1,0,0,0
Rainbow Islands Revolution,Action,Nintendo DS,0.02,2005,0,1,14.95,54,1,1,0,0,1,0,0,0
Kao Challengers,Action,Sony PSP,0.02,2005,0,0,14.95,57,1,1,1,0,1,0,0,0
Electroplankton,Simulation,Nintendo DS,0.01,2005,0,0,29.95,71,1,1,0,0,1,0,0,0
LifeSigns: Surgical Unit,"Simulation, Strategy",Nintendo DS,0.01,2005,0,0,22.95,61,1,1,0,0,1,0,0,0
Space Invaders Revolution,Action,Nintendo DS,0.01,2005,1,0,13.95,49,1,1,0,0,1,0,0,0
Wii Play,"Action, Sports",Nintendo Wii,14.66,2006,0,0,14.95,58,0,2,0,0,0,0,0,0
New Super Mario Bros.,Action,Nintendo DS,10.03,2006,1,0,27.95,89,2,1,0,0,1,0,0,1
PokÇmon Diamond,Role-Playing (RPG),Nintendo DS,6.77,2006,1,0,27.95,85,2,1,0,0,1,0,0,0
PokÇmon Pearl,Role-Playing (RPG),Nintendo DS,6.77,2006,1,0,26.95,85,2,1,0,0,1,0,0,0
Gears of War,Action,X360,3.7,2006,0,0,19.95,94,1,2,1,0,0,0,0,0
The Legend of Zelda: Twilight Princess,"Action, Role-Playing (RPG)",Nintendo Wii,3.33,2006,1,0,39.95,95,0,1,0,0,0,0,0,1
Cooking Mama,Simulation,Nintendo DS,2.9,2006,0,0,17.95,67,2,1,0,0,1,0,0,0
Marvel Ultimate Alliance,"Action, Role-Playing (RPG)",X360,2.42,2006,0,0,14.95,82,1,4,1,1,0,0,0,1
Daxter,Action,Sony PSP,2.38,2006,1,0,14.95,85,2,1,1,0,1,0,0,0
The Elder Scrolls IV: Oblivion,"Action, Role-Playing (RPG)",X360,2.12,2006,1,0,19.95,94,1,1,0,0,0,0,0,1
Madden NFL 07,Sports,X360,1.77,2006,1,0,4.95,80,1,2,1,1,0,0,0,1
Grand Theft Auto: Vice City Stories,"Action, Racing / Driving",Sony PSP,1.72,2006,1,0,17.95,86,2,1,1,0,1,0,0,1
Resistance: Fall of Man,Action,PlayStation 3,1.61,2006,0,0,19.95,86,0,4,1,0,0,0,0,0
MotorStorm,"Action, Racing / Driving, Sports",PlayStation 3,1.58,2006,0,0,16.95,82,0,1,1,0,0,0,0,0
Call of Duty 3,Action,X360,1.51,2006,1,0,16.95,82,1,2,1,0,0,0,0,1
Yoshi's Island DS,Action,Nintendo DS,1.49,2006,1,1,27.95,81,2,1,0,0,1,0,0,0
Tom Clancy's Ghost Recon: Advanced Warfighter,Action,X360,1.46,2006,1,0,14.95,90,1,4,1,0,0,0,0,1
Fight Night Round 3,"Action, Sports",X360,1.4,2006,1,0,14.95,86,1,2,1,0,0,0,0,1
PokÇmon Ranger,Role-Playing (RPG),Nintendo DS,1.36,2006,1,0,19.95,69,2,1,0,0,1,0,0,0
Rayman Raving Rabbids,Action,Nintendo Wii,1.26,2006,0,0,17.95,76,0,4,0,0,0,0,0,1
Saints Row,"Action, Racing / Driving",X360,1.23,2006,0,0,14.95,81,1,1,1,0,0,0,0,0
Tom Clancy's Rainbow Six: Vegas,Action,X360,1.19,2006,1,0,14.95,88,1,2,1,1,0,0,0,1
Dead Rising,Action,X360,1.16,2006,0,0,16.95,85,1,1,0,0,0,0,0,0
Call of Duty 3,Action,Nintendo Wii,1.15,2006,1,0,19.95,69,0,1,0,0,0,0,0,1
Lost Planet: Extreme Condition,Action,X360,1.15,2006,0,0,12.95,79,1,1,1,0,0,0,0,1
Mario Hoops 3 on 3,Sports,Nintendo DS,1.03,2006,0,0,22.95,69,2,1,0,0,1,0,0,0
LEGO Star Wars II: The Original Trilogy,Action,Nintendo DS,1.02,2006,1,0,17.95,47,2,1,0,1,1,0,0,1
Super Monkey Ball: Banana Blitz,Action,Nintendo Wii,1,2006,1,0,14.95,74,0,4,0,0,0,0,0,0
The Sims 2: Pets,Simulation,Nintendo DS,0.97,2006,1,0,14.95,49,2,1,0,0,1,0,0,1
Need for Speed: Carbon - Own the City,Racing / Driving,Sony PSP,0.93,2006,1,0,16.95,73,2,1,1,0,1,0,0,1
WarioWare: Smooth Moves,"Action, Racing / Driving, Sports",Nintendo Wii,0.9,2006,1,0,39.95,83,0,6,0,0,0,0,0,0
Fight Night Round 3,"Action, Sports",PlayStation 3,0.86,2006,1,0,13.95,83,0,2,1,0,0,0,0,1
Final Fantasy III,Role-Playing (RPG),Nintendo DS,0.86,2006,1,1,17.95,77,2,1,1,0,1,0,0,0
SOCOM: U.S. Navy SEALs - Fireteam Bravo 2,Action,Sony PSP,0.86,2006,1,0,16.95,81,2,1,0,0,1,0,0,0
Madden NFL 07,Sports,Sony PSP,0.83,2006,1,0,9.95,78,2,1,0,1,1,0,0,1
Monster 4x4: World Circuit,Racing / Driving,Nintendo Wii,0.82,2006,0,0,12.95,51,0,4,0,0,0,0,0,0
Kirby: Squeak Squad,Action,Nintendo DS,0.82,2006,1,0,27.95,71,2,1,0,0,1,0,0,0
PokÇmon Battle Revolution,"Action, Strategy",Nintendo Wii,0.81,2006,1,0,39.95,53,0,4,1,0,0,0,0,0
Medal of Honor: Heroes,Action,Sony PSP,0.81,2006,1,0,14.95,71,2,1,1,0,1,0,0,0
Tekken: Dark Resurrection,Action,Sony PSP,0.81,2006,1,1,17.95,88,2,1,1,0,1,0,0,0
Need for Speed: Carbon,Racing / Driving,X360,0.78,2006,1,0,16.95,77,1,2,1,1,0,0,0,1
Mario vs. Donkey Kong 2: March of the Minis,Action,Nintendo DS,0.77,2006,1,0,27.95,76,2,1,0,0,1,0,0,0
Sonic Rivals,"Action, Racing / Driving",Sony PSP,0.76,2006,0,0,17.95,64,2,1,0,0,1,0,0,0
Disney/Pixar Cars,Racing / Driving,Sony PSP,0.71,2006,0,0,12.95,70,2,4,0,1,1,0,0,1
NCAA Football 07,Sports,X360,0.7,2006,1,0,4.95,79,1,2,1,1,0,0,0,1
Mortal Kombat: Unchained,Action,Sony PSP,0.67,2006,0,1,17.95,70,2,2,1,0,1,0,0,0
MX vs. ATV: On the Edge,"Racing / Driving, Sports",Sony PSP,0.67,2006,1,0,16.95,68,2,1,1,0,1,0,0,0
Tom Clancy's Splinter Cell: Double Agent,Action,X360,0.67,2006,1,0,17.95,85,1,1,1,1,0,0,0,1
Tetris DS,Strategy,Nintendo DS,0.66,2006,1,1,17.95,84,2,1,1,0,1,0,0,0
LEGO Star Wars II: The Original Trilogy,Action,Sony PSP,0.61,2006,1,0,17.95,83,2,2,1,1,1,0,0,1
Red Steel,Action,Nintendo Wii,0.58,2006,0,0,14.95,63,0,4,0,0,0,0,0,0
Metroid Prime: Hunters,Action,Nintendo DS,0.58,2006,1,0,27.95,85,2,1,0,0,1,0,0,0
LEGO Star Wars II: The Original Trilogy,Action,X360,0.57,2006,1,0,14.95,81,1,2,0,1,0,0,0,0
NBA 2K7 ,Sports,X360,0.56,2006,1,0,4.95,84,1,1,0,0,0,0,0,1
SEGA Genesis Collection,"Action, Racing / Driving, Role-Playing (RPG), Strategy",Sony PSP,0.55,2006,0,1,17.95,82,2,2,1,0,1,0,0,1
Call of Duty 3,Action,PlayStation 3,0.52,2006,1,0,19.95,80,0,1,1,0,0,0,0,1
NBA Live 07,Sports,Sony PSP,0.51,2006,1,0,7.95,64,2,1,1,1,1,0,0,1
GT Pro Series,Racing / Driving,Nintendo Wii,0.49,2006,0,0,14.95,41,0,4,0,0,0,1,0,0
Madden NFL 07,Sports,PlayStation 3,0.49,2006,1,0,6.95,76,0,2,1,1,0,0,0,1
