CASEID,MARCOHAB,MB2,MSCALCA,ST1U,RSEX1,CSEX1,RSEX2,CSEX2,INCNEED1,INCNEED2,INCCHNG,RINCHNG,M484,ETHRACE,M2BP01,RELKID,NUMKID2,EDUCAT,MEDUCAT,FEDUCAT,MANEDUC,FEMEDUC,MUCOMPED,CUCOMPED,FHURT,FHURT2,MISSVIC1,MISSVIC2,FEMVICW1,FEMVICW2,SERVIO1,SERVIO2,MBL5YR1,MBL5YR2,MN1,CHNGDIS,DEBTSW1,DEBTSW2,RDEBTSW1,RDEBTSW2,DEBTLOAD,DEBTCHG,MFINSAT,FFINSAT,MFINWORR,FFINWORR,MJOBSPEL,RMJOBSPE,MJOBSTRN,E209A,E209B,E210A,E210B,S160A,S160B,S161A,S161B,MT211,MT212,MT213,MT214,CT211,CT212,CT213,CT214,MANDRINK,WOMDRINK,MDRKDAY,WDRKDAY,MNUMDRK,WNUMDRK,M5ADAY,W5ADAY,PMDRINK,PWDRINK,MPDRKDAY,WPDRKDAY,MPNUMDRK,WPNUMDRK,MP5ADAY,WP5ADAY,MRDRINK,WRDRINK,MDAYS,WDAYS,MAVEDRK,WAVEDRK,MALE5S,FEMALE5S,E208,S159,DRINKPRB,MDRINK1,WDRINK1,BDRINK1,ZSNGPNT1,ZPNWTE1,ZUNEMP1,ZPUBAS1,ZPOV1,CONDIS1,CNDIS110,ZSNGPNT2,ZPNWTE2,ZUNEMP2,ZPUBAS2,ZPOV2,CONDIS2,DISADV1,CNDIS210,DISADV2,TRAJECT,SUBSTRN,INCNDW1R,INCNDW2R,HHINCW2,HHINCW1,CNDIS13,CNDIS23,RSUBSTRN,DESIST,INITIATE,FAC1_1
    3, 1, 1, 9, 1,1,2,1,2,999.99999,  4.63596, 999.99999,99, 1,1,51, 0, 0,12, 12,999, 12, 11, 12, 11,0,0, 0, 0,0,0, 0, 0,0.3634,0.3634, 1,2,3,0,1,0,-3,-1, 7, 4, 3, 1, 0,0, 4,6,6,6,6,6,6,6,6, 2, 99, 99, 99, 2, 99, 99, 99, 0,99, 99,999, 99,999, 99,999,99, 0,999, 99,999, 99,999, 99, 0, 0,  0,  0,  0,  0,  0,  0, 2, 2,0,0,0,0, 0.88696, 1.76901, 0.30950, 1.37505, 1.02680, 1.0735, 9, 1.13011, 2.04490, 0.42594, 1.62653, 1.25155, 1.2958,1,10,1,1, 0.1324,99, 4,2,9,3,3,1,9,0,-0.72542
    8, 1,99,99,12,1,2,8,8,  2.46942, -1.00000, 999.99999,99, 2,2,71, 0,99,12, 12,999,999,999,999,999,0,9, 0,-1,0,9, 0,-1,0.4767,9.9999,99,9,0,0,0,0, 0, 0,-1,-1,-1,-1,-1,9,-1,6,6,6,6,6,6,6,6,99,999,999,999,99,999,999,999,-1,99, -1,999, -1,999, -1,999,99,-1,999, -1,999, -1,999, -1,99,99,999,999,999,999,999,999, 2, 2,0,0,0,0,-0.57051,-0.63419,-1.14490,-0.89277,-0.99307,-0.8471, 1, 9.99999, 9.99999, 9.99999, 9.99999, 9.99999, 9.9999,0,99,9,9,99.9999, 4,99,9,2,1,9,9,9,9, 9.99999
   29, 1, 3, 9, 3,2,8,2,8,999.99999,  1.50389, 999.99999,99, 1,1,55, 0, 2, 9,999,  9,999,  9,  9,999,0,9, 0,-1,0,9, 0,-1,0.3473,0.3473, 1,2,0,0,0,0, 0, 0,-1, 7,-1, 5,-1,9,-1,2,1,2,2,9,9,9,9, 2, 99, 99, 99,99,999,999,999,99, 0,999, 99,999, 99,999, 99,-1,99, -1,999, -1,999, -1,999,99, 0, -1,  0, -1,  0, -1,  0, 1, 9,1,1,0,0, 1.00946, 3.05433, 0.74645, 0.57536,-0.49370, 0.9784, 9, 9.99999, 9.99999, 9.99999, 9.99999, 9.99999, 9.9999,1,99,9,9,99.9999,99, 3,2,9,3,9,9,9,9, 9.99999
   40, 1,99,99,12,1,2,8,8,  1.54026, -1.00000, 999.99999,99, 2,2,74, 0,99,12, 12,999,999,999,999,999,0,9, 0,-1,0,9, 0,-1,0.2535,9.9999,99,9,0,0,0,0, 0, 0,-1,-1,-1,-1,-1,9,-1,6,6,6,6,6,6,6,6,99,999,999,999,99,999,999,999,-1,99, -1,999, -1,999, -1,999,99,-1,999, -1,999, -1,999, -1,99,99,999,999,999,999,999,999, 2, 2,0,0,0,0,-0.87021, 0.86312,-0.50731,-0.01556, 0.21288,-0.0634, 7, 9.99999, 9.99999, 9.99999, 9.99999, 9.99999, 9.9999,0,99,9,9,99.9999, 3,99,9,2,2,9,9,9,9, 9.99999
   45, 1, 1, 9, 1,1,2,1,2,  4.98432,  1.22686,  -3.75746,-1, 2,2,27, 0, 4,12, 12,999, 12, 13, 12, 13,0,0, 0, 0,0,0, 0, 0,0.3210,0.5237, 3,0,3,2,1,1,-1,-1, 4, 5, 4, 3, 0,0, 6,6,6,6,6,6,6,6,6, 2, 99, 99, 99, 2, 99, 99, 99, 0,99, 99,999, 99,999, 99,999,99, 0,999, 99,999, 99,999, 99, 0, 0,  0,  0,  0,  0,  0,  0, 2, 2,0,0,0,0, 0.71196,-0.15139, 0.34832,-0.06849,-0.69531, 0.0290, 7,-0.32610,-0.63737, 0.31478,-0.25789,-0.01696,-0.1847,0, 6,0,1,-0.1811, 4, 3,2,2,2,2,0,9,0,-0.72542
   53, 1, 1, 9, 1,2,1,2,1,  2.65527,  5.30793,   2.65266, 1, 2,2,30, 2, 2,12,999, 12, 12, 12, 12, 12,0,0, 0, 0,0,0, 0, 0,0.3210,0.3210, 1,0,1,2,0,1, 1, 1, 4, 4, 4, 3, 0,0, 4,6,6,6,6,6,6,6,6, 1,  4,  4,  2, 1,  2, 10,  2,99, 1,999,  4,999,  4,999,  2, 1,99,  2,999, 10,999,  2,999, 1, 1,  2,  4, 10,  4,  2,  2, 2, 2,0,0,0,0, 0.71196,-0.15139, 0.34832,-0.06849,-0.69531, 0.0290, 7, 0.93394,-0.03068, 0.46668, 0.04693,-0.62694, 0.1580,0, 8,1,1,-0.0309, 4, 5,3,2,2,3,0,9,0, 1.48960
   58, 1, 1, 9, 1,2,8,2,1,  3.41347,  6.17350,   2.76002, 1, 2,2,47, 1, 0,12,999, 12,  3, 14, 14,  3,8,0,-1, 0,9,0,-1, 0,0.3461,0.3461, 2,1,1,4,0,1, 3, 1, 6, 5, 5, 4, 0,0, 8,6,6,6,6,9,9,9,9, 2, 99, 99, 99, 2, 99, 99, 99,99, 0,999, 99,999, 99,999, 99, 0,99, 99,999, 99,999, 99,999, 0, 0,  0,  0,  0,  0,  0,  0, 9, 9,9,9,9,9,-0.42255, 0.39193,-0.43018, 0.14843, 0.08548,-0.0454, 7,-0.33775, 0.55655,-0.35029, 0.28430, 0.22476, 0.0755,0, 8,1,9,-0.9317, 4, 5,3,2,2,3,0,9,9,-0.72542
   61, 1,99,99,12,2,1,8,8,  1.98020, -1.00000, 999.99999,99, 2,2,31, 2,99,10,999, 10,999,999,999,999,0,9, 0,-1,0,9, 0,-1,0.5013,9.9999,99,9,0,0,0,0, 0, 0,-1,-1,-1,-1,-1,9,-1,6,6,6,6,6,6,6,6,99,999,999,999,99,999,999,999,99,-1,999, -1,999, -1,999, -1,-1,99, -1,999, -1,999, -1,999,99,99,999,999,999,999,999,999, 2, 2,0,0,0,0, 0.09936, 0.03243,-0.78726, 0.08277,-0.03724,-0.1220, 7, 9.99999, 9.99999, 9.99999, 9.99999, 9.99999, 9.9999,0,99,9,9,99.9999, 3,99,9,2,2,9,9,9,9, 9.99999
   66, 1, 3, 9, 3,1,2,1,8,  1.00933, -1.00000, 999.99999,99, 1,1,26, 3, 0,12, 12,999, 13,999, 13,999,0,9, 1,-1,1,9, 1,-1,0.5013,0.3770, 3,9,3,2,1,1,-1,-1, 4,-1, 1,-1, 1,0,-1,6,6,6,6,6,6,6,6, 1,  2,  1,  0,99,999,999,999, 1,99,  2,999,  1,999,  0,999,99,-1,999, -1,999, -1,999, -1, 1,99,  2, -1,  1, -1,  0, -1, 2, 2,0,0,0,0, 0.09936, 0.03243,-0.78726, 0.08277,-0.03724,-0.1220, 7, 9.99999, 9.99999, 9.99999, 9.99999, 9.99999, 9.9999,0,99,9,9,99.9999, 3,99,9,2,2,9,9,9,9, 9.99999
   74, 1,99,99,12,1,2,8,8,  1.03198, -1.00000, 999.99999,99, 2,2,23, 1,99,12, 12,999,999,999,999,999,0,9, 3,-1,1,9, 2,-1,0.5013,9.9999,99,9,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,9,-1,6,6,6,6,6,6,6,6,99,999,999,999,99,999,999,999,-1,99, -1,999, -1,999, -1,999,99,-1,999, -1,999, -1,999, -1,99,99,999,999,999,999,999,999, 2, 2,0,0,0,0, 0.09936, 0.03243,-0.78726, 0.08277,-0.03724,-0.1220, 7, 9.99999, 9.99999, 9.99999, 9.99999, 9.99999, 9.9999,0,99,9,9,99.9999, 3,99,9,2,2,9,9,9,9, 9.99999
   79, 1,99,99, 4,1,2,8,8,  1.80311, -1.00000, 999.99999,99, 2,2,76, 0,99, 8,  8,999,999,999,999,999,0,9, 0,-1,0,9, 0,-1,0.4616,9.9999,99,9,0,0,0,0, 0, 0,-1,-1,-1,-1,-1,9,-1,6,6,6,6,6,6,6,6,99,999,999,999,99,999,999,999,-1,99, -1,999, -1,999, -1,999,99,-1,999, -1,999, -1,999, -1,99,99,999,999,999,999,999,999, 2, 2,0,0,0,0,-0.03430,-0.75035, 0.04319, 0.65204, 1.06571, 0.1953, 8, 9.99999, 9.99999, 9.99999, 9.99999, 9.99999, 9.9999,1,99,9,9,99.9999, 3,99,9,2,3,9,9,9,9, 9.99999
   82, 1,99,99, 3,1,8,8,8,999.99999, -1.00000, 999.99999,99, 1,1,37, 1,99,12, 12,999,999,999,999,999,0,9, 0,-1,0,9, 0,-1,0.5013,9.9999,99,9,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,9,-1,6,6,6,6,9,9,9,9,99,999,999,999,99,999,999,999,-1,99, -1,999, -1,999, -1,999,99,99,999,999,999,999,999,999,99,99,999,999,999,999,999,999, 2, 9,9,9,9,9, 0.09936, 0.03243,-0.78726, 0.08277,-0.03724,-0.1220, 7, 9.99999, 9.99999, 9.99999, 9.99999, 9.99999, 9.9999,0,99,9,9,99.9999,99,99,9,9,2,9,9,9,9, 9.99999
   87, 3,99,99,12,1,2,8,8,  1.56325, -1.00000, 999.99999,99, 1,1,52, 0,99,14, 14,999,999,999,999,999,0,9, 0,-1,0,9, 0,-1,0.3874,9.9999,99,9,0,0,0,0, 0, 0,-1,-1,-1,-1,-1,9,-1,6,6,6,6,6,6,6,6,99,999,999,999,99,999,999,999,-1,99, -1,999, -1,999, -1,999,99,-1,999, -1,999, -1,999, -1,99,99,999,999,999,999,999,999, 2, 2,0,0,0,0, 0.91421, 3.14171, 1.95940, 1.14327, 0.35374, 1.5025,10, 9.99999, 9.99999, 9.99999, 9.99999, 9.99999, 9.9999,1,99,9,9,99.9999, 3,99,9,2,3,9,9,9,9, 9.99999
   90, 1,99,99,12,2,8,8,8,  1.80313, -1.00000, 999.99999,99, 2,2,42, 1,99, 8,999,  8,999,999,999,999,8,9,-1,-1,9,9,-1,-1,0.4616,9.9999,99,9,3,0,1,0,-3,-1,-1,-1,-1,-1,-1,9,-1,6,6,6,6,9,9,9,9,99,999,999,999,99,999,999,999,99,-1,999, -1,999, -1,999, -1,99,99,999,999,999,999,999,999,99,99,999,999,999,999,999,999, 2, 9,9,9,9,9,-0.03430,-0.75035, 0.04319, 0.65204, 1.06571, 0.1953, 8, 9.99999, 9.99999, 9.99999, 9.99999, 9.99999, 9.9999,1,99,9,9,99.9999, 3,99,9,2,3,9,9,9,9, 9.99999
   95, 1,99,99,12,2,1,8,8,  2.58433, -1.00000, 999.99999,99, 2,2,69, 0,99,11,999, 11,999,999,999,999,0,9, 0,-1,0,9, 0,-1,0.5785,9.9999,99,9,2,0,1,0,-2,-1,-1,-1,-1,-1,-1,9,-1,6,6,6,6,2,2,9,9,99,999,999,999,99,999,999,999,99,-1,999, -1,999, -1,999, -1,-1,99, -1,999, -1,999, -1,999,99,99,999,999,999,999,999,999, 2, 9,9,9,9,9, 1.49783, 1.59374, 0.30121, 0.58961, 0.89780, 0.9760, 9, 9.99999, 9.99999, 9.99999, 9.99999, 9.99999, 9.9999,1,99,9,9,99.9999, 4,99,9,2,3,9,9,9,9, 9.99999
  109, 1, 1, 9, 1,2,1,2,1,  2.25923,  3.23306,   0.97384, 1, 2,2,30, 2, 2,14,999, 14, 13, 13, 13, 13,0,0, 0, 0,0,0, 0, 0,0.3970,0.3200, 2,0,1,0,0,0,-1,-1, 4, 7, 2, 3, 0,0, 6,6,6,6,6,6,6,6,6, 2, 99, 99, 99, 1, 24,  4, 10,99, 0,999, 99,999, 99,999, 99, 1,99, 24,999,  4,999, 10,999, 1, 0, 24,  0,  4,  0, 10,  0, 2, 2,0,0,0,0,-1.04727,-0.65504,-0.97245,-0.54121,-0.52678,-0.7486, 2,-0.63785,-0.62764,-0.83008,-0.52044,-0.72333,-0.6679,0, 2,0,1,-0.0446, 4, 4,2,2,1,1,0,9,0, 2.35830
  117, 1, 4, 9, 4,2,1,2,8,  4.47983,  3.12372,  -1.35611,-1, 2,2,50, 0, 0,12,999, 12,999, 12, 12,999,0,9, 0,-1,0,9, 0,-1,0.2616,0.2616, 1,0,1,1,0,0, 0, 0,-1, 2,-1, 1,-1,9,-1,2,2,2,2,6,6,6,6, 9, 99, 99, 99,99,999,999,999,99, 9,999, 99,999, 99,999, 99,-1,99, -1,999, -1,999, -1,999,99, 9, -1, 99, -1, 99, -1, 99, 1, 2,9,9,9,9,-0.40113,-0.65640,-0.17890,-0.68475,-0.78595,-0.5414, 3, 9.99999, 9.99999, 9.99999, 9.99999, 9.99999, 9.9999,0,99,9,9,99.9999, 4, 4,2,2,1,9,9,9,9, 9.99999
  120, 1, 1, 9, 1,2,1,2,1,  1.17912,  1.26511,   0.08599, 0, 2,2,31, 2, 2, 8,999,  8, 12,  8,  8, 12,0,0, 0, 0,0,0, 0, 0,0.4769,0.4769, 1,0,2,3,1,1, 1, 1, 4, 3, 1, 1, 1,0, 6,6,6,6,6,6,6,6,6, 2, 99, 99, 99, 2, 99, 99, 99,99, 0,999, 99,999, 99,999, 99, 0,99, 99,999, 99,999, 99,999, 0, 0,  0,  0,  0,  0,  0,  0, 2, 2,0,0,0,0,-0.20465,-0.42923,-0.05951,-0.07050, 0.38329,-0.0761, 7,-0.09350,-0.33096, 0.03870, 0.04474, 0.54961, 0.0417,0, 7,0,1, 1.1993, 3, 3,2,2,2,2,1,9,0,-0.72542
  125, 1, 1, 9, 1,1,2,1,8,  3.20794,  3.93827,   0.73033, 1, 1,1,55, 2, 0,11, 11,999, 11,999, 11,999,0,0, 0, 0,0,0, 0, 0,0.3634,0.3634, 1,2,1,1,0,0, 0, 0, 4,-1, 3,-1, 0,0,-1,1,2,2,2,2,1,2,2, 1, 30,  4, 10,99,999,999,999, 1,99, 30,999,  4,999, 10,999,99,-1,999, -1,999, -1,999, -1, 1,99, 30, -1,  4, -1, 10, -1, 1, 1,1,1,0,0, 0.88696, 1.76901, 0.30950, 1.37505, 1.02680, 1.0735, 9, 1.13011, 2.04490, 0.42594, 1.62653, 1.25155, 1.2958,1,10,1,1,99.9999, 4, 4,2,2,3,3,9,9,0, 2.63426
  133, 1, 1, 9, 1,2,8,2,8,999.99999,  1.32677, 999.99999,99, 2,2,35, 2, 0,12,999, 12,999, 12, 12,999,0,0, 0, 0,0,0, 0, 0,0.3823,0.3823, 2,2,1,2,0,1, 1, 1,-1, 4,-1, 3,-1,9,-1,6,6,6,6,9,9,9,9, 2, 99, 99, 99,99,999,999,999,99, 0,999, 99,999, 99,999, 99,-1,99, -1,999, -1,999, -1,999,99, 0, -1,  0, -1,  0, -1,  0, 2, 9,9,9,9,9, 0.47162,-0.72015, 1.39696, 1.19931, 1.66162, 0.8019, 9, 0.66454,-0.64539, 1.56714, 1.43422, 1.94402, 0.9929,1, 9,1,1,99.9999,99, 3,2,9,3,3,9,9,0, 9.99999
  146, 1, 1, 9, 1,2,1,2,1,  1.56800,  1.60247,   0.03448, 0, 2,2,34, 3, 2,13,999, 13, 12, 13, 13, 12,0,0, 0, 0,0,0, 0, 0,0.3823,0.3823, 1,2,0,1,0,0, 1, 1, 1, 1, 1, 1, 0,0, 9,6,6,6,6,6,6,6,6, 2, 99, 99, 99, 2, 99, 99, 99,99, 0,999, 99,999, 99,999, 99, 0,99, 99,999, 99,999, 99,999, 0, 0,  0,  0,  0,  0,  0,  0, 2, 2,0,0,0,0, 0.47162,-0.72015, 1.39696, 1.19931, 1.66162, 0.8019, 9, 0.66454,-0.64539, 1.56714, 1.43422, 1.94402, 0.9929,1, 9,1,1, 1.9796, 3, 3,2,2,3,3,1,9,0,-0.72542
  154, 8, 3, 1,13,1,8,1,2,999.99999,  2.14242, 999.99999,99, 2,2,36, 0, 0,12, 12,999, 12, 12, 12, 12,8,0, 0, 0,0,0, 0, 0,0.3823,0.3702, 1,9,0,1,0,0, 1, 1, 1, 4, 2, 1, 0,0,-1,2,2,2,2,9,9,9,9, 2, 99, 99, 99, 2, 99, 99, 99, 0,99, 99,999, 99,999, 99,999,99, 0,999, 99,999, 99,999, 99, 0, 0,  0,  0,  0,  0,  0,  0,99,99,8,8,8,8,99.99999, 9.99999, 9.99999, 9.99999, 9.99999, 9.9999,99, 0.04314,-0.69643, 0.83297, 0.99829, 1.66056, 0.5677,9, 9,1,1, 1.3105,99, 4,2,9,9,3,1,9,0,-0.72542
  159, 1, 1, 9, 1,2,1,2,1,999.99999,  0.54011, 999.99999,99, 2,2,32, 0, 2, 8,999,  8,  8,  8,  8,  8,0,0, 0, 0,0,0, 0, 0,0.4616,0.3573, 1,2,0,2,0,1, 2, 1, 3, 7, 1, 2, 0,0,-1,6,6,6,6,6,6,6,6, 2, 99, 99, 99, 2, 99, 99, 99,99, 0,999, 99,999, 99,999, 99, 0,99, 99,999, 99,999, 99,999, 0, 0,  0,  0,  0,  0,  0,  0, 9, 2,9,9,9,9,-0.03430,-0.75035, 0.04319, 0.65204, 1.06571, 0.1953, 8,-0.54559,-0.69723, 0.14075, 1.69349, 2.12216, 0.5427,1, 9,1,1, 0.5462,99, 2,1,9,3,3,1,9,0,-0.72542
  162, 1, 1, 9, 1,2,1,2,1,  1.24046,  0.83023,  -0.41023,-1, 2,2,37, 0, 0,12,999, 12,  9, 12, 12,  9,0,0, 0, 0,0,0, 0, 0,0.4616,0.4616, 2,2,3,2,1,1,-1,-1, 1, 1, 1, 1, 0,0,-1,6,6,6,6,6,6,6,6, 2, 99, 99, 99, 2, 99, 99, 99,99, 0,999, 99,999, 99,999, 99, 0,99, 99,999, 99,999, 99,999, 0, 0,  0,  0,  0,  0,  0,  0, 2, 2,0,0,0,0,-0.03430,-0.75035, 0.04319, 0.65204, 1.06571, 0.1953, 8, 0.09744,-0.67804, 0.14648, 0.83536, 1.29400, 0.3390,1, 8,1,1, 1.9796, 3, 2,1,2,3,3,1,9,0,-0.72542
  167, 1, 1, 9, 1,2,1,2,1,  4.59496,  7.10771,   2.51275, 1, 2,2,41, 2, 0,13,999, 13, 18, 13, 13, 18,0,0, 0, 0,0,0, 0, 0,0.3200,0.3200, 1,0,1,1,0,0, 0, 0, 6, 6, 5, 4, 0,0, 6,6,6,6,6,6,6,6,6, 2, 99, 99, 99, 2, 99, 99, 99,99, 0,999, 99,999, 99,999, 99, 0,99, 99,999, 99,999, 99,999, 0, 0,  0,  0,  0,  0,  0,  0, 2, 2,0,0,0,0,-0.69027,-0.70372,-0.88738,-0.58699,-0.78368,-0.7304, 2,-0.63785,-0.62764,-0.83008,-0.52044,-0.72333,-0.6679,0, 2,0,1,-1.0819, 4, 5,3,2,1,1,0,9,0,-0.72542
  170, 1, 1, 9, 1,1,8,1,2,999.99999,  2.61792, 999.99999,99, 2,2,65, 0, 0,12, 12,999, 12, 12, 12, 12,0,0, 0, 0,0,0, 0, 0,0.3281,0.3281, 1,0,0,0,0,0, 0, 0, 5, 5, 4, 3, 0,0,-1,6,6,6,6,9,9,9,9, 2, 99, 99, 99, 1,  3,  1,  0, 0,99, 99,999, 99,999, 99,999,99, 1,999,  3,999,  1,999,  0, 0, 1,  0,  3,  0,  1,  0,  0, 2, 9,9,9,9,9,-0.89046,-0.62605,-0.64395,-0.33242,-0.34848,-0.5683, 3,-0.86225,-0.54369,-0.57463,-0.24187,-0.24862,-0.4942,0, 4,0,1,-0.3410,99, 4,2,9,1,2,0,9,0,-0.72542
  175, 1, 1, 9, 1,2,1,2,1,  5.19959,  7.23925,   2.03965, 1, 2,2,23, 1, 2,12,999, 12, 12, 12, 12, 12,0,0, 0, 0,0,0, 0, 0,0.3210,0.3210, 1,0,2,3,1,1, 1, 1, 6, 6, 3, 4, 0,0, 6,6,6,6,6,6,6,6,6, 2, 99, 99, 99, 1,  4,  4,  1,99, 0,999, 99,999, 99,999, 99, 1,99,  4,999,  4,999,  1,999, 1, 0,  4,  0,  4,  0,  1,  0, 2, 2,0,0,0,0, 0.71196,-0.15139, 0.34832,-0.06849,-0.69531, 0.0290, 7, 0.93394,-0.03068, 0.46668, 0.04693,-0.62694, 0.1580,0, 8,1,1,-0.6450, 5, 5,3,3,2,3,0,9,0, 0.33235
  183, 1, 1, 9, 1,1,2,1,2,999.99999,  3.71701, 999.99999,99, 2,2,61, 2, 0, 8,  8,999,  8,  8,  8,  8,0,0, 0, 0,0,0, 0, 0,0.3210,0.3210, 1,0,2,1,1,0,-1,-1,-1, 6, 3, 1, 0,0,-1,6,6,6,6,6,6,6,6, 2, 99, 99, 99, 2, 99, 99, 99, 0,99, 99,999, 99,999, 99,999,99, 0,999, 99,999, 99,999, 99, 0, 0,  0,  0,  0,  0,  0,  0, 2, 2,0,0,0,0, 0.71196,-0.15139, 0.34832,-0.06849,-0.69531, 0.0290, 7, 0.93394,-0.03068, 0.46668, 0.04693,-0.62694, 0.1580,0, 8,1,1,99.9999,99, 4,2,9,2,3,9,9,0,-0.72542
  188, 1,99,99,12,2,1,8,8,  0.73902, -1.00000, 999.99999,99, 2,2,21, 3,99,11,999, 11,999,999,999,999,0,9, 0,-1,0,9, 0,-1,0.5013,9.9999,99,9,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,9,-1,6,6,6,6,6,6,6,6,99,999,999,999,99,999,999,999,99,-1,999, -1,999, -1,999, -1,-1,99, -1,999, -1,999, -1,999,99,99,999,999,999,999,999,999, 2, 2,0,0,0,0, 0.09936, 0.03243,-0.78726, 0.08277,-0.03724,-0.1220, 7, 9.99999, 9.99999, 9.99999, 9.99999, 9.99999, 9.9999,0,99,9,9,99.9999, 2,99,9,1,2,9,9,9,9, 9.99999
  191, 1, 2, 9, 2,1,2,1,8,  0.01363,  0.29936,   0.28572, 1, 2,2,54, 0, 0, 2,  2,999,  2,999,  2,999,0,9, 0,-1,0,9, 0,-1,0.3823,0.3823, 2,9,0,0,0,0, 0, 0, 4,-1, 5,-1, 0,0,-1,6,6,6,6,6,6,6,6, 2, 99, 99, 99,99,999,999,999, 0,99, 99,999, 99,999, 99,999,99,-1,999, -1,999, -1,999, -1, 0,99,  0, -1,  0, -1,  0, -1, 2, 2,0,0,0,0, 0.47162,-0.72015, 1.39696, 1.19931, 1.66162, 0.8019, 9, 9.99999, 9.99999, 9.99999, 9.99999, 9.99999, 9.9999,1,99,9,9,99.9999, 1, 1,1,1,3,9,9,9,9, 9.99999
  196, 1, 3, 9, 3,2,1,2,8,  0.54526,  0.46090,  -0.08436, 0, 2,2,19, 0, 2,13,999, 13,999, 13, 13,999,0,9, 0,-1,0,9, 0,-1,0.6560,0.3868, 3,9,3,3,1,1, 0, 0,-1, 2,-1, 3,-1,9,-1,6,6,6,6,6,6,6,6, 2, 99, 99, 99,99,999,999,999,99, 0,999, 99,999, 99,999, 99,-1,99, -1,999, -1,999, -1,999,99, 0, -1,  0, -1,  0, -1,  0, 2, 2,0,0,0,0, 0.54152,-0.34615,-0.22163,-0.22862,-0.05542,-0.0621, 7, 9.99999, 9.99999, 9.99999, 9.99999, 9.99999, 9.9999,0,99,9,9,99.9999, 2, 1,1,1,2,9,9,9,9, 9.99999
  213, 1, 1, 9, 1,1,2,1,2,  2.60360,  4.89622,   2.29262, 1, 2,2,49, 0, 0,12, 12,999, 12,  9, 12,  9,0,0, 0, 0,0,0, 0, 0,0.2535,0.3461, 1,0,0,1,0,0, 1, 1, 6, 6, 4, 4, 0,0, 4,6,6,6,6,6,6,6,6, 2, 99, 99, 99, 2, 99, 99, 99, 0,99, 99,999, 99,999, 99,999,99, 0,999, 99,999, 99,999, 99, 0, 0,  0,  0,  0,  0,  0,  0, 2, 2,0,0,0,0,-0.87021, 0.86312,-0.50731,-0.01556, 0.21288,-0.0634, 7,-0.33775, 0.55655,-0.35029, 0.28430, 0.22476, 0.0755,0, 8,1,1,-0.8635, 4, 4,2,2,2,3,0,9,0,-0.72542
  218, 1,99,99,12,1,2,8,8,  2.95449, -1.00000, 999.99999,99, 2,2,67, 0,99, 6,  6,999,999,999,999,999,0,9, 0,-1,0,9, 0,-1,0.2535,9.9999,99,9,0,0,0,0, 0, 0,-1,-1,-1,-1,-1,9,-1,6,6,6,6,6,6,6,6,99,999,999,999,99,999,999,999,-1,99, -1,999, -1,999, -1,999,99,-1,999, -1,999, -1,999, -1,99,99,999,999,999,999,999,999, 9, 2,9,9,9,9,-0.87021, 0.86312,-0.50731,-0.01556, 0.21288,-0.0634, 7, 9.99999, 9.99999, 9.99999, 9.99999, 9.99999, 9.9999,0,99,9,9,99.9999, 4,99,9,2,2,9,9,9,9, 9.99999
  221, 1,99,99,12,2,1,8,8,  0.00000, -1.00000, 999.99999,99, 2,2,76, 0,99,12,999, 12,999,999,999,999,0,9, 0,-1,0,9, 0,-1,0.3455,9.9999,99,9,0,0,0,0, 0, 0,-1,-1,-1,-1,-1,9,-1,6,6,6,6,6,6,6,6,99,999,999,999,99,999,999,999,99,-1,999, -1,999, -1,999, -1,-1,99, -1,999, -1,999, -1,999,99,99,999,999,999,999,999,999, 2, 2,0,0,0,0,-0.20582, 0.33304, 0.09785,-0.71264,-0.64612,-0.2267, 6, 9.99999, 9.99999, 9.99999, 9.99999, 9.99999, 9.9999,0,99,9,9,99.9999, 1,99,9,1,2,9,9,9,9, 9.99999
  234, 1, 1, 9, 1,1,2,1,8,999.99999,  4.90415, 999.99999,99, 2,2,73, 0, 0,18, 18,999, 18,999, 18,999,0,0, 0, 0,0,0, 0, 0,0.3455,0.3455, 1,0,1,0,0,0,-1,-1, 6,-1, 4,-1, 1,0,-1,6,6,6,6,6,6,6,6, 2, 99, 99, 99,99,999,999,999, 0,99, 99,999, 99,999, 99,999,99,-1,999, -1,999, -1,999, -1, 0,99,  0, -1,  0, -1,  0, -1, 2, 2,0,0,0,0,-0.20582, 0.33304, 0.09785,-0.71264,-0.64612,-0.2267, 6,-0.09482, 0.49290, 0.20383,-0.65793,-0.57328,-0.1259,0, 7,0,1,99.9999,99, 4,2,9,2,2,9,9,0,-0.72542
