CASEID,MARCOHAB,MB2,MSCALCA,ST1U,RSEX1,CSEX1,RSEX2,CSEX2,INCNEED1,INCNEED2,INCCHNG,RINCHNG,M484,ETHRACE,M2BP01,RELKID,NUMKID2,EDUCAT,MEDUCAT,FEDUCAT,MANEDUC,FEMEDUC,MUCOMPED,CUCOMPED,FHURT,FHURT2,MISSVIC1,MISSVIC2,FEMVICW1,FEMVICW2,SERVIO1,SERVIO2,MBL5YR1,MBL5YR2,MN1,CHNGDIS,DEBTSW1,DEBTSW2,RDEBTSW1,RDEBTSW2,DEBTLOAD,DEBTCHG,MFINSAT,FFINSAT,MFINWORR,FFINWORR,MJOBSPEL,RMJOBSPE,MJOBSTRN,E209A,E209B,E210A,E210B,S160A,S160B,S161A,S161B,MT211,MT212,MT213,MT214,CT211,CT212,CT213,CT214,MANDRINK,WOMDRINK,MDRKDAY,WDRKDAY,MNUMDRK,WNUMDRK,M5ADAY,W5ADAY,PMDRINK,PWDRINK,MPDRKDAY,WPDRKDAY,MPNUMDRK,WPNUMDRK,MP5ADAY,WP5ADAY,MRDRINK,WRDRINK,MDAYS,WDAYS,MAVEDRK,WAVEDRK,MALE5S,FEMALE5S,E208,S159,DRINKPRB,MDRINK1,WDRINK1,BDRINK1,ZSNGPNT1,ZPNWTE1,ZUNEMP1,ZPUBAS1,ZPOV1,CONDIS1,CNDIS110,ZSNGPNT2,ZPNWTE2,ZUNEMP2,ZPUBAS2,ZPOV2,CONDIS2,DISADV1,CNDIS210,DISADV2,TRAJECT,SUBSTRN,INCNDW1R,INCNDW2R,HHINCW2,HHINCW1,CNDIS13,CNDIS23,RSUBSTRN,DESIST,INITIATE,FAC1_1
31621, 1,99,99,12,1,2,8,8, 12.26827, -1.00000, 999.99999,99, 2,2,52, 0,99,18, 18,999,999,999,999,999,0,9, 0,-1,0,9, 0,-1,0.4040,9.9999,99,9,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,9,-1,6,6,6,6,6,6,6,6,99,999,999,999,99,999,999,999,-1,99, -1,999, -1,999, -1,999,99,-1,999, -1,999, -1,999, -1,99,99,999,999,999,999,999,999, 2, 2,0,0,0,0,-0.92384,-0.01871,-0.73931,-0.84186,-0.80274,-0.6653, 2, 9.99999, 9.99999, 9.99999, 9.99999, 9.99999, 9.9999,0,99,9,9,99.9999, 5,99,9,3,1,9,9,9,9, 9.99999
31626, 1, 1, 9, 1,2,1,2,1,  9.02567,  4.66179,  -4.36388,-1, 2,2,63, 0, 0,14,999, 14, 16, 14, 14, 16,0,0, 0, 0,0,0, 0, 0,0.5420,0.5420, 1,0,1,0,0,0,-1,-1, 6, 6, 4, 3, 1,0,-1,6,6,6,6,6,6,6,6, 2, 99, 99, 99, 1, 26,  1,  0,99, 0,999, 99,999, 99,999, 99, 1,99, 26,999,  1,999,  0,999, 1, 0, 26,  0,  1,  0,  0,  0, 2, 2,0,0,0,0,-0.64812,-0.38863,-1.01350,-0.81534,-1.01190,-0.7755, 1,-0.59061,-0.28709,-0.96247,-0.77031,-0.97225,-0.7165,0, 1,0,1,-0.6511, 5, 4,2,3,1,1,0,9,0, 0.65814
31634, 1, 1, 9, 1,2,1,2,1,  4.57587,  4.91988,   0.34401, 1, 2,2,37, 1, 2,16,999, 16, 18, 16, 16, 18,0,0, 0, 0,0,0, 0, 0,0.5884,0.5884, 1,0,1,0,0,0,-1,-1, 6, 6, 3, 3, 0,0, 7,6,6,6,6,6,6,6,6, 1,  3,  3,  1, 2, 99, 99, 99,99, 1,999,  3,999,  3,999,  1, 0,99, 99,999, 99,999, 99,999, 0, 1,  0,  3,  0,  3,  0,  1, 2, 2,0,0,0,0, 0.13965,-0.55605,-0.39074,-0.31431,-0.65889,-0.3561, 5, 0.29242,-0.46803,-0.30890,-0.22206,-0.58722,-0.2588,0, 6,0,1,-0.4327, 4, 4,2,2,2,2,0,9,0,-0.72542
31642, 1,99,99,12,2,1,8,8,  0.67775, -1.00000, 999.99999,99, 2,2,63, 0,99,12,999, 12,999,999,999,999,0,9, 0,-1,0,9, 0,-1,0.5424,9.9999,99,9,0,0,0,0, 0, 0,-1,-1,-1,-1,-1,9,-1,6,6,6,6,6,6,6,6,99,999,999,999,99,999,999,999,99,-1,999, -1,999, -1,999, -1,-1,99, -1,999, -1,999, -1,999,99,99,999,999,999,999,999,999, 2, 2,0,0,0,0,-0.40960,-0.77225,-0.34305,-0.21278,-0.32463,-0.4125, 5, 9.99999, 9.99999, 9.99999, 9.99999, 9.99999, 9.9999,0,99,9,9,99.9999, 2,99,9,1,2,9,9,9,9, 9.99999
31647, 8, 1, 9,13,2,8,2,1,  3.41219,  4.95649,   1.54430, 1, 2,2,36, 2, 1,14,999, 14, 16, 14, 14, 16,8,0, 0, 0,0,0, 0, 0,0.4578,0.4560, 1,9,1,1,0,0, 0, 0, 4, 5, 2, 2, 1,0, 7,6,6,6,6,9,9,9,9, 2, 99, 99, 99, 1, 30,  7, 30,99, 0,999, 99,999, 99,999, 99, 1,99, 30,999,  7,999, 30,999, 1, 0, 30,  0,  7,  0, 30,  0,99,99,8,8,8,8,99.99999, 9.99999, 9.99999, 9.99999, 9.99999, 9.9999,99,-0.41592,-0.08901,-0.16551, 0.95979, 0.80281, 0.2184,9, 8,1,1, 0.4682, 4, 4,2,2,9,3,1,9,0, 5.65540
31663, 1, 1, 9, 1,2,8,2,8,999.99999,  5.52830, 999.99999,99, 2,2,51, 2, 0,16,999, 16,999, 16, 16,999,0,0, 0, 0,0,0, 0, 0,0.4919,0.4919, 1,0,0,1,0,0, 1, 1,-1, 6,-1, 4,-1,9,-1,6,6,6,6,9,9,9,9, 1,  2,  1,  0,99,999,999,999,99, 1,999,  2,999,  1,999,  0,-1,99, -1,999, -1,999, -1,999,99, 1, -1,  2, -1,  1, -1,  0, 2, 9,9,9,9,9,-1.12826,-0.69135,-1.15700,-0.70184,-0.94485,-0.9247, 1,-1.12880,-0.61427,-1.11300,-0.64611,-0.89914,-0.8803,0, 1,0,1,99.9999,99, 5,3,9,1,1,9,9,0, 9.99999
31689, 1, 1, 9, 1,1,2,1,2,  2.87623,  3.37161,   0.49538, 1, 1,1,42, 0, 0,10, 10,999, 10, 13, 10, 13,0,9, 0,-1,0,9, 0,-1,0.6423,0.4701, 2,2,0,1,0,0, 1, 1,-1,-1,-1,-1, 0,0,-1,6,6,6,6,6,6,6,6, 9, 99, 99, 99, 9, 99, 99, 99, 9,99, 99,999, 99,999, 99,999,99, 9,999, 99,999, 99,999, 99, 9, 9, 99, 99, 99, 99, 99, 99, 9, 2,9,9,9,9, 2.88787, 3.23191, 3.32643, 2.62475, 2.35948, 2.8861,10, 2.63976, 3.01032, 3.70542, 2.47543, 1.26779, 2.6197,1,10,1,9,99.9999, 4, 4,2,2,3,3,9,9,9, 9.99999
31697, 8, 3, 1,13,2,8,2,1,  1.37743,  6.91857,   5.54114, 1, 2,2,35, 0, 0,19,999, 19, 20, 20, 20, 20,8,0, 0, 0,0,0, 0, 0,0.4451,0.8560, 3,9,1,2,0,1, 1, 1, 5, 5, 3, 3, 0,0, 6,6,6,6,6,9,9,9,9, 2, 99, 99, 99, 1, 30,  1,  0,99, 0,999, 99,999, 99,999, 99, 1,99, 30,999,  1,999,  0,999, 1, 0, 30,  0,  1,  0,  0,  0,99,99,8,8,8,8,99.99999, 9.99999, 9.99999, 9.99999, 9.99999, 9.9999,99,-1.08700,-0.13334,-0.04673,-0.79203, 2.24789, 0.0378,9, 7,0,1,-0.1226, 3, 5,3,2,9,2,0,9,0, 0.84211
31701, 1, 1, 9, 1,1,2,1,8,999.99999,  3.49122, 999.99999,99, 2,2,55, 0, 0,20, 20,999, 20,999, 20,999,1,0, 0, 0,0,0, 0, 0,0.4910,0.4910, 1,0,0,2,0,1, 2, 1, 4,-1, 3,-1, 0,0, 6,6,6,6,6,6,6,6,6, 1, 30,  3,  2,99,999,999,999, 1,99, 30,999,  3,999,  2,999,99,-1,999, -1,999, -1,999, -1, 1,99, 30, -1,  3, -1,  2, -1, 2, 2,0,0,0,0, 0.60283,-0.69751,-0.49482, 0.06769, 0.07092,-0.0902, 7, 0.81161,-0.62093,-0.41813, 0.19594, 0.20887, 0.0355,0, 7,0,1,99.9999,99, 4,2,9,2,2,9,9,0, 1.46336
31706, 1, 1, 9, 1,1,2,1,2,999.99999,  1.58019, 999.99999,99, 2,2,61, 0, 0,10, 10,999, 10, 10, 10, 10,0,0, 0, 0,0,0, 0, 0,0.3847,0.3847, 1,0,0,0,0,0, 0, 0,-1,-1, 4, 2, 0,0,-1,6,6,6,6,6,6,6,6, 2, 99, 99, 99, 2, 99, 99, 99, 0,99, 99,999, 99,999, 99,999,99, 0,999, 99,999, 99,999, 99, 0, 0,  0,  0,  0,  0,  0,  0, 2, 2,0,0,0,0,-0.33981,-0.75195,-0.78957,-0.17530, 0.28784,-0.3538, 5,-0.24501,-0.67976,-0.72744,-0.06995, 0.44549,-0.2553,0, 6,0,1,99.9999,99, 3,2,9,2,2,9,9,0,-0.72542
31719, 1, 1, 9, 1,2,1,2,1,999.99999,  3.95389, 999.99999,99, 2,2,29, 3, 3,15,999, 15,999, 14, 14, 99,0,0, 0, 0,0,0, 0, 0,0.3857,0.3857, 1,2,0,0,0,0, 0, 0, 4,-1, 4, 4, 1,0, 7,6,6,6,6,6,6,6,6, 1,  4,  1,  0, 1,  3,  2,  0,99, 1,999,  4,999,  1,999,  0, 1,99,  3,999,  2,999,  0,999, 1, 1,  3,  4,  2,  1,  0,  0, 2, 2,0,0,0,0, 1.36279, 0.85332, 0.52766, 0.54467, 0.79247, 0.8162, 9, 1.66347, 1.05522, 0.65488, 0.71788, 0.99595, 1.0175,1, 9,1,1,99.9999,99, 4,2,9,3,3,9,9,0,-0.21199
31722, 1, 2, 9, 2,1,2,1,2,  3.01254,  2.14035,  -0.87219,-1, 1,1,64, 0, 0,10, 10,999, 10, 14, 10, 14,0,0, 0, 0,0,0, 0, 0,0.6359,0.7274, 3,9,1,1,0,0, 0, 0, 3, 5, 4, 3, 0,0,-1,6,6,6,6,6,6,6,6, 1, 30,  2,  0, 2, 99, 99, 99, 1,99, 30,999,  2,999,  0,999,99, 0,999, 99,999, 99,999, 99, 1, 0, 30,  0,  2,  0,  0,  0, 2, 2,0,0,0,0, 0.41594, 0.56025, 1.04184, 0.24929, 0.82711, 0.6189, 9, 9.99999, 9.99999, 9.99999, 9.99999, 9.99999, 9.9999,1,99,9,1,-0.0211, 4, 4,2,2,3,9,0,9,0, 9.99999
31743, 1, 1, 9, 1,2,1,2,1,  2.73305,  4.82600,   2.09295, 1, 2,2,37, 1, 1,12,999, 12, 13, 12, 12, 13,0,0, 0, 0,0,0, 0, 0,0.2650,0.2650, 1,0,1,1,0,0, 0, 0, 6, 3, 3, 1, 0,0, 6,6,6,6,6,6,6,6,6, 2, 99, 99, 99, 2, 99, 99, 99,99, 0,999, 99,999, 99,999, 99, 0,99, 99,999, 99,999, 99,999, 0, 0,  0,  0,  0,  0,  0,  0, 2, 2,0,0,0,0,-0.93999,-0.23685,-0.72721,-0.57021,-0.98141,-0.6911, 2,-0.91777,-0.12305,-0.66199,-0.50207,-0.93902,-0.6288,0, 2,0,1, 0.4426, 4, 4,2,2,1,1,1,9,0,-0.72542
31756, 1, 1, 9, 1,2,8,2,1,  4.27543,  3.67936,  -0.59606,-1, 2,2,35, 2, 2,18,999, 18, 13, 18, 18, 13,0,0, 0, 0,0,0, 0, 0,0.4288,0.4288, 1,0,1,1,0,0, 0, 0, 4, 7, 3, 3, 0,0, 6,6,6,6,6,9,9,9,9, 1,  2,  1,  0, 1,  2,  3,  0,99, 1,999,  2,999,  1,999,  0, 1,99,  2,999,  3,999,  0,999, 1, 1,  2,  2,  3,  1,  0,  0, 2, 9,9,9,9,9,-0.87728,-0.66286,-0.93951,-0.60589,-0.92303,-0.8017, 1,-0.84748,-0.58347,-0.88479,-0.54112,-0.87534,-0.7464,0, 1,0,1,-0.2630, 4, 4,2,2,1,1,0,9,0,-0.07026
31764, 1,99,99,12,2,1,8,8, 18.73948, -1.00000, 999.99999,99, 2,2,41, 3,99,20,999, 20,999,999,999,999,0,9, 0,-1,0,9, 0,-1,0.3835,9.9999,99,9,0,0,0,0, 0, 0,-1,-1,-1,-1,-1,9,-1,6,6,6,6,6,6,6,6,99,999,999,999,99,999,999,999,99,-1,999, -1,999, -1,999, -1,-1,99, -1,999, -1,999, -1,999,99,99,999,999,999,999,999,999, 2, 2,0,0,0,0,-0.61569,-0.74774,-1.20080,-0.98584,-0.99351,-0.9087, 1, 9.99999, 9.99999, 9.99999, 9.99999, 9.99999, 9.9999,0,99,9,9,99.9999, 5,99,9,3,1,9,9,9,9, 9.99999
31780, 1, 3, 9, 3,2,1,2,8,  3.86709,  2.21161,  -1.65548,-1, 2,2,27, 1, 2,14,999, 14,999, 13, 13,999,0,9, 0,-1,0,9, 0,-1,0.5424,0.5424, 2,9,2,1,1,0,-1,-1,-1, 4,-1, 2,-1,9,-1,6,6,6,6,6,6,6,6, 1,  6,  2,  1,99,999,999,999,99, 1,999,  6,999,  2,999,  1,-1,99, -1,999, -1,999, -1,999,99, 1, -1,  6, -1,  2, -1,  1, 2, 2,0,0,0,0,-0.40960,-0.77225,-0.34305,-0.21278,-0.32463,-0.4125, 5, 9.99999, 9.99999, 9.99999, 9.99999, 9.99999, 9.9999,0,99,9,9,99.9999, 4, 4,2,2,2,9,9,9,9, 9.99999
31785, 1, 1, 9, 1,2,8,2,1,  6.65840,  5.64130,  -1.01710,-1, 2,2,51, 0, 0,19,999, 19, 13, 18, 18, 13,0,0, 0, 0,0,0, 0, 0,0.5946,0.5946, 1,0,0,0,0,0, 0, 0, 5, 4, 3, 2, 1,0,-1,6,6,6,6,9,9,9,9, 2, 99, 99, 99, 2, 99, 99, 99,99, 0,999, 99,999, 99,999, 99, 0,99, 99,999, 99,999, 99,999, 0, 0,  0,  0,  0,  0,  0,  0, 2, 9,9,9,9,9,-0.30845,-0.14810,-0.43682,-0.88349,-0.79505,-0.5144, 4,-0.20986,-0.02712,-0.35726,-0.84488,-0.73574,-0.4350,0, 4,0,1, 0.2400, 5, 5,3,3,2,2,1,9,0,-0.72542
31793, 8, 1, 9,13,1,8,1,2,  3.50939,  2.62293,  -0.88646,-1, 2,2,33, 0, 0,15, 15,999, 13, 13, 13, 13,8,0, 0, 0,0,0, 0, 0,0.8034,0.3434, 3,9,2,1,1,0,-1,-1, 4, 4, 5, 3, 0,0, 3,1,2,1,2,9,9,9,9, 2, 99, 99, 99, 2, 99, 99, 99, 0,99, 99,999, 99,999, 99,999,99, 0,999, 99,999, 99,999, 99, 0, 0,  0,  0,  0,  0,  0,  0,99,99,8,8,8,8,99.99999, 9.99999, 9.99999, 9.99999, 9.99999, 9.9999,99,-0.62629,-0.60803,-0.57911,-0.24252,-0.10367,-0.4319,9, 4,0,1,-0.2493, 4, 4,2,2,9,2,0,9,0,-0.72542
31798, 1, 1, 9, 1,2,8,2,8,  5.75527,  4.11427,  -1.64100,-1, 2,2,40, 1, 0,12,999, 12,999, 12, 12,999,0,0, 0, 0,0,0, 0, 0,0.4560,0.4307, 2,0,0,2,0,1, 2, 1,-1, 4,-1, 3,-1,9,-1,6,6,6,6,9,9,9,9, 2, 99, 99, 99,99,999,999,999,99, 0,999, 99,999, 99,999, 99,-1,99, -1,999, -1,999, -1,999,99, 0, -1,  0, -1,  0, -1,  0, 2, 9,9,9,9,9,-0.49228,-0.20536,-0.25411, 0.76575, 0.61542, 0.0859, 7, 0.19020,-0.62196, 0.21598,-0.52071,-0.44637,-0.2366,0, 6,0,1,99.9999, 5, 4,2,3,2,2,9,9,0, 9.99999
31802,10, 5, 1,13,2,8,2,8,999.99999,  9.04737, 999.99999,99, 2,2,26, 0, 0,13,999, 13,999, 13, 13,999,8,0, 0, 0,0,0, 0, 0,0.5761,0.5394, 2,9,2,0,1,0,-2,-1,-1, 2,-1, 2,-1,9,-1,1,2,1,2,9,9,9,9, 2, 99, 99, 99,99,999,999,999,99, 0,999, 99,999, 99,999, 99,-1,99, -1,999, -1,999, -1,999,99, 0, -1,  0, -1,  0, -1,  0,99,99,8,8,8,8,99.99999, 9.99999, 9.99999, 9.99999, 9.99999, 9.9999,99,-0.57972,-0.26028, 0.08519,-0.31223,-0.29906,-0.2732,9, 6,0,1,99.9999,99, 5,3,9,9,2,9,9,0, 9.99999
31807, 1, 1, 9, 1,1,8,1,2,  1.55619,  2.07568,   0.51950, 1, 2,2,44, 3, 1,12, 12,999, 12, 11, 12, 11,0,0, 0, 0,0,0, 0, 0,0.3692,0.3692, 1,0,1,1,0,0, 0, 0, 2, 3, 3, 2, 1,0,-1,6,6,6,6,9,9,9,9, 2, 99, 99, 99, 2, 99, 99, 99, 0,99, 99,999, 99,999, 99,999,99, 0,999, 99,999, 99,999, 99, 0, 0,  0,  0,  0,  0,  0,  0, 2, 9,9,9,9,9,-0.63641,-0.76877, 0.24697, 0.20282,-0.12019,-0.2151, 6,-0.57747,-0.69795, 0.36032, 0.34381, 0.00040,-0.1142,0, 7,0,1, 0.8700, 3, 4,2,2,2,2,1,9,0,-0.72542
31810, 1, 1, 9, 1,1,2,1,2,  3.15482,  4.70492,   1.55011, 1, 2,2,42, 2, 1,16, 16,999, 16, 12, 16, 12,0,0, 0, 0,0,0, 0, 0,0.6256,0.6256, 1,0,1,3,0,1, 2, 1, 6, 6, 3, 3, 0,0, 6,6,6,6,6,6,6,6,6, 2, 99, 99, 99, 2, 99, 99, 99, 0,99, 99,999, 99,999, 99,999,99, 0,999, 99,999, 99,999, 99, 0, 0,  0,  0,  0,  0,  0,  0, 2, 2,0,0,0,0,-0.29044,-0.47732,-0.87911,-0.88926,-0.68146,-0.6435, 3,-0.18967,-0.38295,-0.82141,-0.85119,-0.61183,-0.5714,0, 3,0,1,-0.4327, 4, 4,2,2,1,1,0,9,0,-0.72542
