Publisher,Title,Genre,Console,USSales,YearReleased,Sequel,ReRelease,Usedprice,Review Score,Lifecycle,MaxPlayers,Online,Licensed,Handheld,Accessory,LtdEdition,Multiplatform
"Rockstar Games, Inc.",Midnight Club 3: DUB Edition,Racing / Driving,Sony PSP,1.69,2005,1,0,14.95,74,1,1,1,1,1,0,0,1
"Electronic Arts, Inc.",Need for Speed: Most Wanted 5-1-0,Racing / Driving,Sony PSP,1.67,2005,1,0,14.95,72,1,1,1,0,1,0,0,1
"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",PokÇmon Mystery Dungeon: Blue Rescue Team,Role-Playing (RPG),Nintendo DS,1.22,2005,1,0,14.95,62,1,1,0,0,1,0,0,0
"SEGA Corporation, SEGA Europe Ltd., SEGA of America, Inc.",Sonic Rush,Action,Nintendo DS,1.2,2005,1,0,14.95,82,1,1,0,0,1,0,0,0
LucasArts,Star Wars: Battlefront II,Action,Sony PSP,1.09,2005,1,0,16.95,69,1,1,1,1,1,0,0,0
"Sony Computer Entertainment America, Inc., SCEE",SOCOM: U.S. Navy SEALs - Fireteam Bravo,Action,Sony PSP,1.07,2005,1,0,14.95,82,1,1,1,0,1,0,0,0
"Electronic Arts UK Ltd., Electronic Arts, Inc.",Need for Speed: Most Wanted,Racing / Driving,X360,0.95,2005,1,0,17.95,83,0,2,1,0,0,0,0,1
THQ Inc.,Zoo Tycoon DS,"Simulation, Strategy",Nintendo DS,0.92,2005,0,1,12.95,44,1,1,0,0,1,0,0,0
"Electronic Arts, Inc.",The Sims 2,"Role-Playing (RPG), Simulation",Nintendo DS,0.83,2005,1,0,17.95,70,1,1,0,0,1,0,0,1
"Namco Hometek Inc., SCEE",Namco Museum Battle Collection,"Action, Racing / Driving",Sony PSP,0.77,2005,0,1,17.95,73,1,1,1,0,1,0,0,0
"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Mario & Luigi: Partners in Time,"Action, Role-Playing (RPG)",Nintendo DS,0.75,2005,1,0,29.95,86,1,1,0,0,1,0,0,0
"Electronic Arts, Inc.",Madden NFL 06,Sports,Sony PSP,0.75,2005,1,0,7.95,75,1,1,1,1,1,0,0,1
"Electronic Arts, Inc.",Need for Speed Underground: Rivals,Racing / Driving,Sony PSP,0.73,2005,1,0,17.95,74,1,4,1,1,1,0,0,0
"Sony Computer Entertainment America, Inc., SCEA, SCEE",Twisted Metal: Head-On,"Action, Racing / Driving",Sony PSP,0.73,2005,1,0,14.95,79,1,1,1,0,1,0,0,1
Microsoft Games Studios,Perfect Dark Zero,Action,X360,0.7,2005,1,0,17.95,79,0,4,1,0,0,0,0,0
"SEGA Corporation, SEGA Europe Ltd., SEGA of America, Inc.",Super Monkey Ball: Touch & Roll,Action,Nintendo DS,0.7,2005,1,0,15.95,63,1,1,0,0,1,0,0,0
"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Super Princess Peach,Action,Nintendo DS,0.7,2005,0,0,29.95,75,1,1,0,0,1,0,0,0
"Electronic Arts UK Ltd., Electronic Arts, Inc.",Burnout Legends,"Action, Racing / Driving",Sony PSP,0.68,2005,1,0,14.95,86,1,1,1,0,1,0,0,1
"Electronic Arts UK Ltd., Electronic Arts, Inc.",Madden NFL 06,Sports,X360,0.62,2005,1,0,4.95,74,0,2,1,1,0,0,0,1
"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Clubhouse Games,Strategy,Nintendo DS,0.61,2005,0,0,17.95,83,1,1,1,0,1,0,0,0
"Sony Computer Entertainment America, Inc., SouthPeak Interactive, LLC",ATV Offroad Fury: Blazin' Trails,"Racing / Driving, Sports",Sony PSP,0.56,2005,0,0,12.95,63,1,4,1,1,1,0,0,0
"Activision Deutschland GmbH, Sony Online Entertainment Inc.",Untold Legends: Brotherhood of the Blade,"Action, Role-Playing (RPG)",Sony PSP,0.56,2005,0,0,12.95,68,1,1,1,0,1,0,0,0
"Activision Deutschland GmbH, Activision Publishing, Inc., Activision (UK) Limited",Tony Hawk's Underground 2: Remix,Sports,Sony PSP,0.49,2005,1,0,14.95,83,1,1,1,0,1,0,0,0
"Electronic Arts, Inc.",The Sims 2,"Simulation, Strategy",Sony PSP,0.46,2005,1,0,14.95,65,1,1,1,0,1,0,0,1
"Sony Computer Entertainment America, Inc., SCEA, SCEE, Sony Computer Entertainment Europe Ltd., Sony Computer Entertainment Japan",WipEout Pure,"Action, Racing / Driving",Sony PSP,0.45,2005,1,0,12.95,88,1,1,1,0,1,0,0,0
"Electronic Arts, Inc.",NBA Live 06,Sports,Sony PSP,0.42,2005,1,0,9.95,80,1,1,1,1,1,0,0,1
THQ Inc.,WWE Smackdown vs. Raw 2006,"Action, Sports",Sony PSP,0.38,2005,1,0,14.95,81,1,4,0,0,1,0,0,1
"Tecmo, Inc.",Dead or Alive 4,Action,X360,0.38,2005,1,0,17.95,85,0,4,1,0,0,0,0,0
"Capcom Co., Ltd., Capcom Entertainment, Inc., CE Europe Ltd.",Phoenix Wright: Ace Attorney,"Adventure, Simulation",Nintendo DS,0.38,2005,0,0,24.95,81,1,1,0,0,1,0,0,0
"Activision Publishing, Inc.",Spider-Man 2,Action,Sony PSP,0.38,2005,1,0,14.95,67,1,1,0,1,1,0,0,0
"Electronic Arts, Inc.",NFL Street 2,Sports,Sony PSP,0.37,2005,1,0,17.95,73,1,4,1,1,1,0,0,0
"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Kirby: Canvas Curse,Action,Nintendo DS,0.37,2005,1,0,17.95,86,1,1,0,0,1,0,0,0
"Electronic Arts, Inc., Electronic Arts Ltd.",Battlefield 2: Modern Combat,Action,X360,0.36,2005,1,0,16.95,77,0,4,1,0,0,0,0,1
"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH",Yoshi Touch & Go,Action,Nintendo DS,0.36,2005,1,0,17.95,73,1,1,0,0,1,0,0,0
"Electronic Arts UK Ltd., Electronic Arts Deutschland GmbH, Electronic Arts, Inc.",Tiger Woods PGA Tour 06,Sports,X360,0.33,2005,1,0,9.95,71,0,4,1,1,0,0,0,0
"SEGA Corporation, SEGA Europe Ltd., SEGA of America, Inc.",Condemned: Criminal Origins,"Action, Adventure",X360,0.33,2005,0,0,14.95,81,0,1,0,0,0,0,0,0
"Ubisoft Entertainment SA, Ubisoft, Inc.",Peter Jackson's King Kong: The Official Game of...,Action,X360,0.32,2005,0,0,14.95,80,0,2,0,1,0,0,0,1
"Konami Co., Ltd., Konami Corporation, Konami Digital Entertainment GmbH, Konami Digital Entertainment, Inc.",Castlevania: Dawn of Sorrow,"Action, Role-Playing (RPG)",Nintendo DS,0.31,2005,1,0,17.95,89,1,1,0,0,1,0,0,0
"THQ Australia, THQ Inc.",SpongeBob SquarePants: The Yellow Avenger,Action,Nintendo DS,0.31,2005,0,0,13.95,67,1,1,0,0,1,0,0,1
"Electronic Arts UK Ltd., Electronic Arts, Inc.",Marvel Nemesis: Rise of the Imperfects ,Action,Sony PSP,0.31,2005,0,0,17.95,58,1,1,1,1,1,0,0,1
Microsoft Games Studios,Kameo: Elements of Power,Action,X360,0.31,2005,0,0,11.95,79,0,1,1,0,0,0,0,0
