USSales,YearReleased,Sequel,ReRelease,Usedprice,ReviewScore,Lifecycle,MaxPlayers,Online,licensed,Handheld,Accessory,LtdEdition,Multiplatform
0.21,2005,0,1,14.95,63,1,1,1,0,1,0,0,0
0.21,2005,0,0,4.95,67,1,1,1,0,1,0,0,1
0.21,2005,0,0,9.95,57,1,1,0,1,1,0,0,0
0.21,2005,0,0,17.95,78,1,1,1,1,1,0,0,0
0.21,2005,0,0,14.95,37,1,1,1,1,1,0,0,1
0.2,2005,1,0,16.95,79,1,1,1,0,1,0,0,1
0.2,2005,1,0,9.95,80,1,1,1,1,1,0,0,0
0.19,2005,0,0,9.95,61,1,1,0,0,1,0,0,0
0.19,2005,1,0,17.95,70,1,1,1,1,1,0,0,1
0.19,2005,1,0,17.95,66,1,1,0,0,1,0,0,0
0.18,2005,0,0,12.95,65,1,1,0,0,1,0,0,1
0.18,2005,0,0,11.95,56,1,1,0,1,1,0,0,1
0.18,2005,1,0,14.95,84,1,1,1,1,1,0,0,1
0.17,2005,1,1,6.95,65,1,1,0,0,1,0,0,0
0.16,2005,0,0,17.95,38,1,1,0,0,1,0,0,1
0.16,2005,0,0,15.95,88,1,1,0,0,1,0,0,0
0.15,2005,1,0,17.95,50,1,1,0,0,1,0,0,0
0.15,2005,0,0,8.95,63,1,1,0,0,1,0,0,0
0.15,2005,0,0,17.95,74,1,1,1,0,1,0,0,0
0.14,2005,0,0,14.95,70,1,1,0,0,1,0,0,0
0.14,2005,0,0,14.95,75,1,1,0,0,1,0,0,0
0.13,2005,0,0,12.95,72,1,2,1,0,1,0,0,0
0.13,2005,1,0,22.95,66,1,1,0,1,1,0,0,0
0.13,2005,1,0,12.95,83,1,1,0,0,1,0,0,0
0.13,2005,1,0,14.95,54,1,1,1,0,1,0,0,0
0.13,2005,1,0,9.95,65,1,1,0,0,1,0,0,1
0.13,2005,1,0,14.95,72,0,1,0,0,0,0,0,0
0.12,2005,0,0,17.95,68,1,1,0,0,1,0,0,0
0.12,2005,0,0,14.95,59,1,1,0,0,1,0,0,0
0.12,2005,1,0,9.95,66,1,1,0,1,1,0,0,1
0.12,2005,0,1,12.95,51,1,1,0,0,1,0,0,0
0.12,2005,0,0,14.95,66,1,1,0,0,1,0,0,0
0.12,2005,1,0,14.95,73,1,1,0,1,1,0,0,1
0.12,2005,0,0,12.95,80,1,1,1,0,1,0,0,0
0.11,2005,0,0,14.95,35,1,1,0,0,1,0,0,0
0.11,2005,1,0,17.95,75,1,1,0,0,1,0,0,1
0.11,2005,1,0,14.95,58,1,1,0,1,1,0,0,1
0.11,2005,1,0,22.95,65,1,1,0,1,1,0,0,1
0.11,2005,1,0,16.95,77,1,1,1,1,1,0,0,1
0.11,2005,1,0,19.95,66,1,1,0,0,1,0,0,1
0.11,2005,0,0,19.95,64,1,1,1,1,1,0,0,0
0.11,2005,0,0,12.95,43,1,1,1,0,1,0,0,0
0.1,2005,0,0,9.95,61,1,2,0,1,1,0,0,0
0.1,2005,1,0,14.95,74,0,2,1,0,0,0,0,0
0.1,2005,1,0,14.95,49,1,1,0,1,1,0,0,1
0.1,2005,0,0,12.95,70,1,1,1,1,1,0,0,0
0.1,2005,1,0,5.95,75,0,1,0,0,0,0,0,1
0.09,2005,0,1,17.95,75,1,1,0,0,1,0,0,0
0.09,2005,1,0,14.95,64,1,1,0,0,1,0,0,0
0.09,2005,1,0,11.95,46,1,1,0,0,1,0,0,0
0.09,2005,0,0,9.95,70,1,1,1,0,1,0,0,0
0.08,2005,0,0,14.95,34,1,1,0,1,1,0,0,1
0.08,2005,0,0,17.95,60,1,1,0,1,1,0,0,1
0.08,2005,1,0,14.95,73,1,1,0,0,1,0,0,0
0.08,2005,0,0,12.95,59,1,1,0,0,1,0,0,0
0.08,2005,0,0,17.95,68,1,1,0,0,1,0,0,0
0.08,2005,0,0,14.95,69,1,1,0,0,1,0,0,0
0.07,2005,0,0,24.95,69,1,1,0,0,1,0,0,0
0.07,2005,0,0,14.95,61,1,1,1,1,1,0,0,0
0.07,2005,0,0,7.95,51,1,1,1,0,1,0,0,1
0.06,2005,0,1,16.95,65,1,1,0,0,1,0,0,0
0.06,2005,1,0,17.95,69,1,1,0,0,1,0,0,1
0.06,2005,1,0,17.95,68,1,1,0,0,1,0,0,0
0.06,2005,0,0,17.95,71,1,1,0,0,1,0,0,0
0.06,2005,0,0,17.95,61,1,1,0,0,1,0,0,0
0.06,2005,1,0,17.95,58,1,1,0,1,1,0,0,1
0.06,2005,1,0,24.95,61,1,1,1,0,1,0,0,1
0.06,2005,0,0,14.95,45,1,1,1,0,1,0,0,0
0.06,2005,0,0,17.95,72,1,1,0,0,1,0,0,0
0.05,2005,1,0,14.95,58,1,1,0,0,1,0,0,0
0.05,2005,0,0,9.95,77,1,1,0,0,1,0,0,1
0.04,2005,0,1,17.95,38,1,1,0,0,1,0,0,0
0.02,2005,0,0,17.95,12,1,2,0,0,1,0,0,0
0.02,2005,0,0,17.95,68,1,2,0,0,1,0,0,0
0.02,2005,0,1,14.95,54,1,1,0,0,1,0,0,0
0.02,2005,0,0,14.95,57,1,1,1,0,1,0,0,0
0.01,2005,0,0,29.95,71,1,1,0,0,1,0,0,0
0.01,2005,0,0,22.95,61,1,1,0,0,1,0,0,0
0.01,2005,1,0,13.95,49,1,1,0,0,1,0,0,0
14.66,2006,0,0,14.95,58,0,2,0,0,0,0,0,0
10.03,2006,1,0,27.95,89,2,1,0,0,1,0,0,1
6.77,2006,1,0,27.95,85,2,1,0,0,1,0,0,0
6.77,2006,1,0,26.95,85,2,1,0,0,1,0,0,0
3.7,2006,0,0,19.95,94,1,2,1,0,0,0,0,0
3.33,2006,1,0,39.95,95,0,1,0,0,0,0,0,1
2.9,2006,0,0,17.95,67,2,1,0,0,1,0,0,0
2.42,2006,0,0,14.95,82,1,4,1,1,0,0,0,1
2.38,2006,1,0,14.95,85,2,1,1,0,1,0,0,0
2.12,2006,1,0,19.95,94,1,1,0,0,0,0,0,1
1.77,2006,1,0,4.95,80,1,2,1,1,0,0,0,1
1.72,2006,1,0,17.95,86,2,1,1,0,1,0,0,1
1.61,2006,0,0,19.95,86,0,4,1,0,0,0,0,0
1.58,2006,0,0,16.95,82,0,1,1,0,0,0,0,0
1.51,2006,1,0,16.95,82,1,2,1,0,0,0,0,1
1.49,2006,1,1,27.95,81,2,1,0,0,1,0,0,0
1.46,2006,1,0,14.95,90,1,4,1,0,0,0,0,1
1.4,2006,1,0,14.95,86,1,2,1,0,0,0,0,1
1.36,2006,1,0,19.95,69,2,1,0,0,1,0,0,0
1.26,2006,0,0,17.95,76,0,4,0,0,0,0,0,1
1.23,2006,0,0,14.95,81,1,1,1,0,0,0,0,0
1.19,2006,1,0,14.95,88,1,2,1,1,0,0,0,1
1.16,2006,0,0,16.95,85,1,1,0,0,0,0,0,0
1.15,2006,1,0,19.95,69,0,1,0,0,0,0,0,1
1.15,2006,0,0,12.95,79,1,1,1,0,0,0,0,1
1.03,2006,0,0,22.95,69,2,1,0,0,1,0,0,0
1.02,2006,1,0,17.95,47,2,1,0,1,1,0,0,1
1,2006,1,0,14.95,74,0,4,0,0,0,0,0,0
0.97,2006,1,0,14.95,49,2,1,0,0,1,0,0,1
0.93,2006,1,0,16.95,73,2,1,1,0,1,0,0,1
0.9,2006,1,0,39.95,83,0,6,0,0,0,0,0,0
0.86,2006,1,0,13.95,83,0,2,1,0,0,0,0,1
0.86,2006,1,1,17.95,77,2,1,1,0,1,0,0,0
0.86,2006,1,0,16.95,81,2,1,0,0,1,0,0,0
0.83,2006,1,0,9.95,78,2,1,0,1,1,0,0,1
0.82,2006,0,0,12.95,51,0,4,0,0,0,0,0,0
0.82,2006,1,0,27.95,71,2,1,0,0,1,0,0,0
0.81,2006,1,0,39.95,53,0,4,1,0,0,0,0,0
0.81,2006,1,0,14.95,71,2,1,1,0,1,0,0,0
0.81,2006,1,1,17.95,88,2,1,1,0,1,0,0,0
0.78,2006,1,0,16.95,77,1,2,1,1,0,0,0,1
0.77,2006,1,0,27.95,76,2,1,0,0,1,0,0,0
0.76,2006,0,0,17.95,64,2,1,0,0,1,0,0,0
0.71,2006,0,0,12.95,70,2,4,0,1,1,0,0,1
0.7,2006,1,0,4.95,79,1,2,1,1,0,0,0,1
0.67,2006,0,1,17.95,70,2,2,1,0,1,0,0,0
0.67,2006,1,0,16.95,68,2,1,1,0,1,0,0,0
0.67,2006,1,0,17.95,85,1,1,1,1,0,0,0,1
0.66,2006,1,1,17.95,84,2,1,1,0,1,0,0,0
0.61,2006,1,0,17.95,83,2,2,1,1,1,0,0,1
0.58,2006,0,0,14.95,63,0,4,0,0,0,0,0,0
0.58,2006,1,0,27.95,85,2,1,0,0,1,0,0,0
0.57,2006,1,0,14.95,81,1,2,0,1,0,0,0,0
0.56,2006,1,0,4.95,84,1,1,0,0,0,0,0,1
0.55,2006,0,1,17.95,82,2,2,1,0,1,0,0,1
0.52,2006,1,0,19.95,80,0,1,1,0,0,0,0,1
0.51,2006,1,0,7.95,64,2,1,1,1,1,0,0,1
0.49,2006,0,0,14.95,41,0,4,0,0,0,1,0,0
0.49,2006,1,0,6.95,76,0,2,1,1,0,0,0,1
0.49,2006,0,0,12.95,48,2,1,1,0,1,0,0,1
0.48,2006,1,0,9.95,81,0,4,0,1,0,0,0,1
0.48,2006,1,0,16.95,74,2,2,0,0,1,0,0,1
0.47,2006,1,0,17.95,75,0,2,1,1,0,0,0,1
0.47,2006,1,0,17.95,67,0,2,0,1,0,0,0,1
0.45,2006,1,0,12.95,81,1,4,1,1,0,0,0,1
0.45,2006,1,0,9.95,80,1,1,0,1,0,0,0,1
0.44,2006,0,0,16.95,84,1,4,1,1,0,0,0,0
0.44,2006,0,0,14.95,57,0,1,0,0,0,0,0,1
0.42,2006,1,0,17.95,68,2,2,1,1,1,0,0,1
0.42,2006,1,0,16.95,81,1,2,1,1,0,0,0,1
0.42,2006,1,0,4.95,59,1,1,0,0,0,0,0,1
0.4,2006,1,0,19.95,72,0,2,0,0,0,0,0,0
0.4,2006,0,0,17.95,67,2,1,0,0,1,0,0,0
0.39,2006,1,0,14.95,76,2,1,1,0,1,0,0,0
0.39,2006,0,0,17.95,87,2,1,1,0,1,0,0,0
0.38,2006,0,0,17.95,73,0,4,0,1,0,0,0,1
0.37,2006,0,0,16.95,66,1,2,1,0,0,0,0,1
0.37,2006,1,0,4.95,66,1,2,0,1,0,0,0,1
0.36,2006,1,0,9.95,75,2,1,0,1,1,0,0,1
0.35,2006,1,0,9.95,83,2,2,0,1,1,0,0,1
0.35,2006,0,0,16.95,67,0,2,1,0,0,0,0,1
0.34,2006,1,0,14.95,78,2,4,1,1,1,0,0,1
0.34,2006,0,0,24.95,78,2,1,0,0,1,0,0,0
0.34,2006,0,0,22.95,81,2,1,1,1,1,0,0,1
0.33,2006,0,0,24.95,78,0,4,1,1,0,0,0,1
0.32,2006,1,0,14.95,81,0,4,1,1,0,0,0,1
0.32,2006,1,0,22.95,75,2,1,1,0,1,0,0,0
0.32,2006,1,0,16.95,77,2,1,1,0,1,0,0,0
0.32,2006,0,0,17.95,85,1,1,1,0,0,0,0,0
0.31,2006,1,0,7.95,80,0,7,1,1,0,0,0,1
0.3,2006,1,0,14.95,76,0,2,0,1,0,0,0,1
0.3,2006,0,0,17.95,64,2,1,0,1,1,0,0,1
0.3,2006,1,0,17.95,85,2,1,1,0,1,0,0,0
0.29,2006,1,0,22.95,82,1,1,0,0,0,0,0,1
0.28,2006,0,0,9.95,81,1,2,1,0,0,0,0,1
0.28,2006,1,0,17.95,80,0,1,0,0,0,0,0,0
0.28,2006,1,0,14.95,56,1,1,1,0,0,0,0,0
0.27,2006,0,0,9.95,87,2,1,0,0,1,0,0,0
0.27,2006,1,1,14.95,80,2,1,1,0,1,0,0,0
0.27,2006,0,0,14.95,79,1,1,0,0,0,0,0,0
0.27,2006,1,0,19.95,79,1,1,1,1,0,0,0,0
0.27,2006,0,0,14.95,79,1,1,1,0,0,0,0,0
0.26,2006,0,0,16.95,71,2,1,0,1,1,0,0,1
0.26,2006,0,1,17.95,75,2,1,1,0,1,0,0,0
0.26,2006,1,0,13.95,80,2,1,0,1,1,0,0,1
0.26,2006,1,0,14.95,52,2,1,1,1,1,0,0,1
0.26,2006,1,0,5.95,79,1,1,0,0,0,0,0,1
0.25,2006,0,0,12.95,71,2,1,1,0,1,0,0,0
0.25,2006,0,0,14.95,71,1,1,1,0,0,0,0,0
0.25,2006,1,0,17.95,82,1,1,1,1,0,0,0,1
0.24,2006,1,0,14.95,72,0,2,0,1,0,0,0,1
0.24,2006,1,0,14.95,75,2,1,1,0,1,0,0,0
0.24,2006,1,0,11.95,63,2,1,0,1,1,0,0,1
0.24,2006,1,0,14.95,68,2,1,1,1,1,0,0,0
0.24,2006,1,0,12.95,87,2,1,1,0,1,0,0,1
0.23,2006,1,0,6.95,63,0,4,1,1,0,0,0,0
0.23,2006,1,0,14.95,72,1,4,1,1,0,0,0,1
0.23,2006,1,0,19.95,78,0,2,1,0,0,0,0,0
0.23,2006,0,0,14.95,70,1,2,1,0,0,0,0,0
0.22,2006,0,0,14.95,75,0,4,0,0,0,0,0,0
0.22,2006,1,0,14.95,76,2,1,1,0,1,0,0,1
0.21,2006,1,0,17.95,57,2,1,0,0,1,0,0,1
0.21,2006,1,0,12.95,78,2,1,0,1,1,0,0,1
0.2,2006,0,0,16.95,65,1,2,0,1,0,0,0,1
0.2,2006,0,0,14.95,72,2,1,1,0,1,0,0,1
0.2,2006,0,0,17.95,77,1,1,0,1,0,0,0,1
0.19,2006,1,0,16.95,46,0,4,0,0,0,0,0,1
0.19,2006,1,0,6.95,82,1,4,1,1,0,0,0,1
